Case ID,Mission,Payload,Range,Endurance,Cruise Speed,Takeoff,Landing,Environment,Pipeline Status,Final Status,Failed Stage,Failure Category,Failure Reason,Iterations,Converged,Verification Status,Final MTOW,Wing Area,Wing Span,Aspect Ratio,Root Chord,Tip Chord,Taper Ratio,Selected Configuration,Selected Motor,Selected Propeller,Battery,Static Margin,Performance Status,Warnings,Execution Time
11,CUSTOM,2.48,58.9,44.9,175.2,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,0,False,N/A,6.686999999999999,0.4604,2.1986,10.5,0.2792,0.1396,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,2.046 kg,0.265,SATISFIED,,4865.4311
12,DISASTER_RESPONSE,2.17,25.4,39.6,140.9,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,0,False,N/A,5.609999999999999,0.4028,2.0566,10.5,0.2611,0.1306,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,1.293 kg,0.319,SATISFIED,,4338.3466
13,RESEARCH,17.31,29.6,34.1,85.2,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PROPULSION_SIZING,INTERNAL_ERROR,PROPULSION_POWER_LIMIT: Sized power target of 4839.7 W exceeds maximum catalog motor power limit of 3400.0 W.,0,False,N/A,,3.2133,5.5251,9.5,0.7754,0.3877,0.5,High Wing / Conventional,,,,,,,4.404
14,INSPECTION,6.73,31.6,57.7,86.5,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.40 m) exceeds wing root chord (0.36 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,1.2493,4.4709,16.0,0.3558,0.0,0.0,High Wing / Conventional,,,,,,,4.6031
15,DELIVERY,2.0,30.0,518.7,85.0,RUNWAY,RUNWAY,RURAL,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Rate of climb (0.87 m/s) is below the minimum required rate of climb constraint (3.00 m/s).; Cruise speed (85.0 kmh) is below the minimum safe cruise speed boundary (92.7 kmh, representing a 35.0% safety margin above clean stall).",0,False,N/A,15.071,0.3713,1.7448,8.2,0.2837,0.1419,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,9.619 kg,0.181,,,5.1045
16,DELIVERY,4.02,249.4,145.6,152.4,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (249.40 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.7462,2.4737,8.2,0.4022,0.2011,0.5,High Wing / Conventional,T-Motor AT3520,22x12 APC,,,,,5.8128
17,MILITARY,2.73,131.4,90.7,195.2,RUNWAY,RUNWAY,DESERT,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.26 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.5068,2.8475,16.0,0.2266,0.0,0.0,High Wing / Conventional,,,,,,,4.3468
18,DISASTER_RESPONSE,0.93,53.3,21.6,142.6,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,1,False,N/A,3.1580000000000004,0.1726,1.3464,10.5,0.1709,0.0855,0.5,High Wing / Conventional,SunnySky X2216,14x10 APC,0.347 kg,0.612,SATISFIED,,8422.0721
19,RESEARCH,2.0,30.0,494.3,85.0,RUNWAY,RUNWAY,RURAL,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Rate of climb (0.71 m/s) is below the minimum required rate of climb constraint (2.00 m/s).; Cruise speed (85.0 kmh) is below the minimum safe cruise speed boundary (105.0 kmh, representing a 30.0% safety margin above clean stall).",0,False,N/A,15.654,0.3713,1.878,9.5,0.2636,0.1318,0.5,High Wing / Conventional,T-Motor MN5008,18x10 APC,10.169 kg,0.181,,,6.112
20,INSPECTION,2.78,94.7,77.0,83.5,CATAPULT,PARACHUTE,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.26 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.5161,2.8735,16.0,0.2287,0.0,0.0,High Wing / Twin Boom,,,,,,,4.1623
21,TRAINING,3.33,53.6,78.9,71.3,CATAPULT,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,7.636,0.6182,2.5477,10.5,0.3235,0.1618,0.5,High Wing / Conventional,T-Motor AT3520,22x12 APC,2.077 kg,0.205,SATISFIED,,4618.4091
22,SURVEY,1.0,30.0,45.0,80.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Budget must be positive (got -500.0),0,False,N/A,,,,,,,,,,,,,,,0.3676
23,SURVEY,3.69,198.0,122.2,199.8,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (198.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.685,2.6819,10.5,0.3406,0.1703,0.5,High Wing / Conventional,T-Motor AT3520,22x12 APC,,,,,8.1781
24,AGRICULTURE,0.66,33.3,31.0,148.7,CATAPULT,BELLY_LANDING,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: FuselageOptimizer failed: FuselageOptimizer failed: No feasible design candidates found.,0,False,N/A,2.4760000000000004,0.1225,0.9586,7.5,0.1278,0.1278,1.0,High Wing / Conventional,SunnySky X2216,11x7 APC,0.367 kg,0.535,SATISFIED,,1338.5693
25,MAPPING,1.09,138.6,103.3,180.8,RUNWAY,RUNWAY,DESERT,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (138.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.2023,1.4576,10.5,0.1851,0.0925,0.5,High Wing / Conventional,SunnySky X2216,15x10 APC,,,,,4.1735
26,INSPECTION,3.79,82.6,49.4,88.7,CATAPULT,RUNWAY,MOUNTAIN,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.30 m) exceeds wing root chord (0.27 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.7035,3.3551,16.0,0.267,0.0,0.0,High Wing / Conventional,,,,,,,11.029
27,INSPECTION,4.26,222.5,134.8,155.1,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.32 m) exceeds wing root chord (0.28 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.7908,3.5571,16.0,0.2831,0.0,0.0,High Wing / Conventional,,,,,,,4.615
28,TRAINING,2.78,59.3,45.7,94.6,CATAPULT,PARACHUTE,MOUNTAIN,INTERNAL_EXCEPTION,INTERNAL_ERROR,VERIFICATION,INTERNAL_ERROR,Design compliance score (76.0%) is below the minimum required safety compliance boundary (85.0%).,5,False,N/A,7.215999999999999,0.5354,2.314,10.0,0.3428,0.12,0.35,High Wing / Conventional,T-Motor AT3520,11x7 APC,1.232 kg,0.39,SATISFIED,,21478.6717
29,SURVEY,4.45,47.7,50.7,84.7,CATAPULT,RUNWAY,MOUNTAIN,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,8.648,0.8261,2.9451,10.5,0.374,0.187,0.5,High Wing / Conventional,T-Motor U8 Lite,22x12 APC,2.007 kg,0.181,SATISFIED,,3856.9827
30,INSPECTION,3.12,157.8,77.1,155.7,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.27 m) exceeds wing root chord (0.24 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,0.5792,3.0441,16.0,0.2423,0.0,0.0,High Wing / Conventional,,,,,,,5.1742
31,MILITARY,2.0,518.3,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (518.3 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.4005
32,SECURITY,6.2,140.7,184.9,83.5,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.39 m) exceeds wing root chord (0.34 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,1.1509,4.2912,16.0,0.3415,0.0,0.0,High Wing / Conventional,,,,,,,4.1069
33,DELIVERY,12.97,127.3,147.6,108.7,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (127.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,2.4077,4.4433,8.2,0.7225,0.3612,0.5,High Wing / Conventional,DLE 55cc,22x12 APC,,,,,3.8956
34,AGRICULTURE,14.04,123.0,132.5,85.9,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (123.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,2.6063,4.4212,7.5,0.5895,0.5895,1.0,Low Wing / Conventional,KDE Direct 7215XF,22x12 APC,,,,,3.7239
35,TRAINING,3.07,90.9,49.3,105.5,CATAPULT,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (90.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.5699,2.4462,10.5,0.3106,0.1553,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,,,,,3.7888
36,DELIVERY,15.05,36.0,45.2,67.2,RUNWAY,RUNWAY,RURAL,MTOW_LIMIT_EXCEEDED,MTOW_LIMIT_EXCEEDED,MASS_SIZING,MTOW_LIMIT_EXCEEDED,Calculated takeoff weight (35.84 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,0,False,N/A,,2.7938,4.7863,8.2,0.7783,0.3891,0.5,High Wing / Conventional,DLE 55cc,22x12 APC,,,,,232.5607
37,SECURITY,45.76,30.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (1.05 m) exceeds wing root chord (0.93 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,8.4946,11.6582,16.0,0.9277,0.0,0.0,High Wing / Conventional,,,,,,,4.6888
38,SURVEY,10.0,141.7,163.6,109.7,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (141.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,1.8563,4.4149,10.5,0.5606,0.2803,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,,,,,3.7756
39,AGRICULTURE,2.0,476.4,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (476.4 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.2692
40,DISASTER_RESPONSE,0.71,140.7,159.0,136.2,CATAPULT,NET_RECOVERY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (140.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.1318,1.1764,10.5,0.1494,0.0747,0.5,High Wing / Conventional,SunnySky X2216,12x6 APC,,,,,3.3406
41,SECURITY,8.36,122.3,156.7,97.8,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.45 m) exceeds wing root chord (0.40 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,1.5519,4.983,16.0,0.3965,0.0,0.0,High Wing / Conventional,,,,,,,4.5058
42,TRAINING,2.0,30.0,493.5,85.0,RUNWAY,RUNWAY,RURAL,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Rate of climb (1.27 m/s) is below the minimum required rate of climb constraint (1.50 m/s).; Cruise speed (85.0 kmh) is below the minimum safe cruise speed boundary (92.6 kmh, representing a 20.0% safety margin above clean stall).",0,False,N/A,13.703999999999999,0.3713,1.9744,10.5,0.2507,0.1254,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,9.568 kg,0.181,,,233.0356
43,MAPPING,2.0,30.0,45.0,325.1,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PERFORMANCE_SIZING,INTERNAL_ERROR,Rate of climb (0.57 m/s) is below the minimum required rate of climb constraint (1.50 m/s).,0,False,N/A,7.119,0.3713,1.9744,10.5,0.2507,0.1254,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,2.983 kg,0.232,,,5.5858
44,CUSTOM,1.74,64.7,69.2,84.2,RUNWAY,PARACHUTE,RURAL,SUCCESS,SUCCESS,SUCCESS,,,5,True,INCONSISTENT,7.2139999999999995,0.5348,2.3125,10.0,0.3426,0.1199,0.35,High Wing / Conventional,T-Motor AT3520,11x7 APC,1.232 kg,0.39,MISSED,,22090.7726
45,SURVEY,1.39,105.3,161.9,66.4,HAND_LAUNCH,PARACHUTE,FOREST,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (105.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.258,1.646,10.5,0.209,0.1045,0.5,High Wing / Conventional,SunnySky X2216,16x8 APC,,,,,10.0328
46,CUSTOM,2.0,30.0,514.0,85.0,RUNWAY,RUNWAY,RURAL,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,PERFORMANCE_SIZING,PERFORMANCE_INFEASIBLE,"Rate of climb (1.15 m/s) is below the minimum required rate of climb constraint (1.50 m/s).; Cruise speed (85.0 kmh) is below the minimum safe cruise speed boundary (94.0 kmh, representing a 20.0% safety margin above clean stall).",0,False,N/A,14.101,0.3713,1.9744,10.5,0.2507,0.1254,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,9.965 kg,0.181,,,8.468
47,SURVEY,2.0,30.0,45.0,312.5,RUNWAY,RUNWAY,RURAL,INTERNAL_EXCEPTION,INTERNAL_ERROR,PERFORMANCE_SIZING,INTERNAL_ERROR,Rate of climb (0.58 m/s) is below the minimum required rate of climb constraint (1.50 m/s).,0,False,N/A,7.008,0.3713,1.9744,10.5,0.2507,0.1254,0.5,High Wing / Conventional,T-Motor MN5008,20x10 APC,2.872 kg,0.237,,,4.5003
48,SECURITY,6.08,79.5,143.1,72.6,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (0.38 m) exceeds wing root chord (0.34 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,1.1286,4.2495,16.0,0.3382,0.0,0.0,High Wing / Conventional,,,,,,,13.2966
49,INSPECTION,51.15,30.0,45.0,85.0,RUNWAY,RUNWAY,RURAL,SIZING_INFEASIBLE,SIZING_INFEASIBLE,FUSELAGE_SIZING,SIZING_INFEASIBLE,"Sized fuselage width (1.11 m) exceeds wing root chord (0.98 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",0,False,N/A,,9.4951,12.3257,16.0,0.9808,0.0,0.0,High Wing / Conventional,,,,,,,4.8257
50,CUSTOM,2.0,528.2,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (528.2 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,0.2793
51,MAPPING,4.93,76.0,67.2,89.9,CATAPULT,RUNWAY,MOUNTAIN,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,10.266,0.9152,3.0999,10.5,0.3936,0.1968,0.5,High Wing / Conventional,T-Motor AT4120,22x12 APC,3.119 kg,0.18,SATISFIED,,4693.0742
52,MAPPING,9.01,22.2,23.1,64.4,RUNWAY,RUNWAY,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,0,False,N/A,12.302,1.6726,4.1907,10.5,0.5322,0.2661,0.5,High Wing / Conventional,KDE Direct 7215XF,22x12 APC,1.373 kg,0.18,SATISFIED,,4304.7457
53,AGRICULTURE,2.0,536.8,45.0,85.0,RUNWAY,RUNWAY,RURAL,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,MISSION_TRANSLATION,INVALID_REQUIREMENTS,Mission range (536.8 km) is physically inconsistent with cruise speed (85.0 km/h) and flight time (45.0 min). Max theoretical range is 63.8 km.,0,False,N/A,,,,,,,,,,,,,,,1.7687
54,CUSTOM,1.01,47.7,38.7,166.7,RUNWAY,BELLY_LANDING,RURAL,NON_CONVERGED,CONVERGENCE_FAILED,VERIFICATION,CONVERGENCE_FAILED,Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: ElectricalOptimizer failed: ElectricalOptimizer failed: No feasible design candidates found.,1,False,N/A,3.657,0.1875,1.4031,10.5,0.1782,0.0891,0.5,High Wing / Conventional,SunnySky X2216,15x10 APC,0.744 kg,0.528,SATISFIED,,8424.5903
55,AGRICULTURE,0.32,117.6,194.0,75.5,CATAPULT,BELLY_LANDING,FOREST,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,PROPULSION_SIZING,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Multispectral Camera' in database weighs 0.35 kg, which exceeds the maximum allowed structural payload limit of 0.34 kg.",0,False,N/A,,0.1114,0.914,7.5,0.1219,0.1219,1.0,High Wing / Conventional,,,,,,,5.6891
56,MAPPING,2.54,157.3,129.4,131.3,RUNWAY,RUNWAY,RURAL,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,AVIONICS_SIZING,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (157.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,0,False,N/A,,0.4715,2.225,10.5,0.2825,0.1413,0.5,High Wing / Conventional,T-Motor MN5008,22x12 APC,,,,,3.9767
