case_id,original_status,baseline_classification,exact_failure_message
FW-048,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.36 m) exceeds wing root chord (0.32 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-049,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-050,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (100.40 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-051,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (111.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-052,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.37 m) exceeds wing root chord (0.33 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-053,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (112.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-054,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-055,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-056,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.34 m) exceeds wing root chord (0.30 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-057,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-058,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,Mass validation error at iteration 3: Calculated takeoff weight (25.57 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).
FW-059,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (194.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-060,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (186.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-061,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-062,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-063,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (156.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-064,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-065,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (124.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-066,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (96.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-067,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (112.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-068,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,Mass validation error at iteration 1: Calculated takeoff weight (40.16 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).
FW-069,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,Mass validation error at iteration 1: Calculated takeoff weight (32.64 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).
FW-070,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (94.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-071,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (121.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-072,INVALID_REQUIREMENTS,true physical/mission infeasibility,Mission processing failed: Mission range (115.0 km) is physically inconsistent with cruise speed (72.3 km/h) and flight time (62.1 min). Max theoretical range is 74.8 km.
FW-073,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (134.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-074,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (145.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-075,INVALID_REQUIREMENTS,true physical/mission infeasibility,Mission processing failed: Mission range (105.5 km) is physically inconsistent with cruise speed (77.5 km/h) and flight time (52.2 min). Max theoretical range is 67.4 km.
FW-076,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (97.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-077,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (83.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-078,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,Mass validation error at iteration 1: Calculated takeoff weight (53.51 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).
FW-079,VERIFICATION_FAILED,verification-threshold false rejection,Verification execution error: Design compliance score (88.0%) is below the minimum required safety compliance boundary (90.0%).
FW-080,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,Mass validation error at iteration 1: Calculated takeoff weight (27.74 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).
FW-081,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.28 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-082,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (161.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-083,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (200.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-084,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.34 m) exceeds wing root chord (0.30 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-085,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (136.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-086,SIZING_INFEASIBLE,wing/fuselage coordination rejection,"Sizing engine validation error at iteration 1: Sized fuselage width (0.15 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile."
FW-087,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (254.50 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-088,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-089,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (226.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-090,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-091,INVALID_REQUIREMENTS,true physical/mission infeasibility,Mission processing failed: Stall speed target (45.0 km/h) must be less than cruise speed (40.0 km/h)
FW-092,PROPULSION_INFEASIBLE,catalog limitation,Propulsion component selection error at iteration 1: Takeoff thrust-to-weight ratio (0.24) is below minimum required constraint limit (0.30).; Selected motor maximum power (4101.4 W) is insufficient to sustain the power required during steady rate of climb (5669.6 W).
FW-093,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (150.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-094,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-095,CONFIGURATION_INFEASIBLE,configuration false rejection,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.
FW-096,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,Mass validation error at iteration 1: Calculated takeoff weight (26.02 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).
FW-097,SUCCESS,successful valid,
FW-098,COMPONENT_DATABASE_LIMITATION,catalog limitation,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (150.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).
FW-099,VERIFICATION_FAILED,verification-threshold false rejection,Verification execution error: Design compliance score (88.0%) is below the minimum required safety compliance boundary (90.0%).
FW-100,SUCCESS,successful valid,
