case_id,original_status,forensic_classification,confidence,physically_infeasible_yes_no_unknown,selector_false_rejection_yes_no_unknown,catalog_limited_yes_no,successful_design_valid_yes_no_unknown,primary_reason,recommended_future_action
FW-024,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.25 m) exceeds wing root chord (0.22 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-025,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.16 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-026,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.17 m) exceeds wing root chord (0.15 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-027,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.22 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-028,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (97.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-029,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.78 kg.",Update component database records with missing classes.
FW-030,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.23 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-031,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.23 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-032,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.19 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-033,SUCCESS,SUCCESS_SUSPICIOUS,High,UNKNOWN,UNKNOWN,NO,NO,None,Modify fuselage bay allocation logic to check volumetric fit and restrict battery CG movement during sizing.
FW-034,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.20 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-035,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.23 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-036,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.20 m) exceeds wing root chord (0.18 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-037,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.26 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-038,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.64 kg.",Update component database records with missing classes.
FW-039,INVALID_REQUIREMENTS,TRUE_MISSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Mission range (118.5 km) is physically inconsistent with cruise speed (93.9 km/h) and flight time (50.2 min). Max theoretical range is 78.6 km.,"Reject mission at user interface stage or require consistent range, speed, and endurance input values."
FW-040,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.26 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-041,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.23 m) exceeds wing root chord (0.21 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-042,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.18 m) exceeds wing root chord (0.16 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-043,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.49 kg.",Update component database records with missing classes.
FW-044,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.27 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-045,SUCCESS,SUCCESS_SUSPICIOUS,High,UNKNOWN,UNKNOWN,NO,NO,None,Modify fuselage bay allocation logic to check volumetric fit and restrict battery CG movement during sizing.
FW-046,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.33 m) exceeds wing root chord (0.29 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-047,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.35 m) exceeds wing root chord (0.31 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-048,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.36 m) exceeds wing root chord (0.32 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-049,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.31 m) exceeds wing root chord (0.28 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-050,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (100.40 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-051,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (111.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-052,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.37 m) exceeds wing root chord (0.33 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-053,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (112.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-054,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.33 m) exceeds wing root chord (0.29 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-055,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.36 m) exceeds wing root chord (0.32 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-056,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.34 m) exceeds wing root chord (0.30 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-057,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.28 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-058,NON_CONVERGED,TRUE_PROPULSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,Expand propulsion catalog or relax minimum thrust-to-weight constraints.
FW-059,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (194.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-060,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (186.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-061,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.29 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-062,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.28 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-063,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (156.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-064,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.31 m) exceeds wing root chord (0.28 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-065,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (124.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-066,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (96.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-067,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (112.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-068,MTOW_LIMIT_EXCEEDED,TRUE_MTOW_LIMIT,High,YES,UNKNOWN,NO,UNKNOWN,MTOW: 40.16 kg (EXTREME_EXCEEDANCE),"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-069,MTOW_LIMIT_EXCEEDED,TRUE_MTOW_LIMIT,High,YES,UNKNOWN,NO,UNKNOWN,MTOW: 32.64 kg (MODERATE_EXCEEDANCE),"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-070,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (94.30 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-071,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (121.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-072,INVALID_REQUIREMENTS,TRUE_MISSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Mission range (115.0 km) is physically inconsistent with cruise speed (72.3 km/h) and flight time (62.1 min). Max theoretical range is 74.8 km.,"Reject mission at user interface stage or require consistent range, speed, and endurance input values."
FW-073,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (134.20 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-074,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (145.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-075,INVALID_REQUIREMENTS,TRUE_MISSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Mission range (105.5 km) is physically inconsistent with cruise speed (77.5 km/h) and flight time (52.2 min). Max theoretical range is 67.4 km.,"Reject mission at user interface stage or require consistent range, speed, and endurance input values."
FW-076,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (97.00 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-077,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (83.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-078,MTOW_LIMIT_EXCEEDED,TRUE_MTOW_LIMIT,High,YES,UNKNOWN,NO,UNKNOWN,MTOW: 53.51 kg (EXTREME_EXCEEDANCE),"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-079,NON_CONVERGED,TRUE_PROPULSION_INFEASIBILITY,High,YES,NO,NO,UNKNOWN,Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.; Convergence failed: Subsystem execution failed with exception: PropulsionOptimizer failed: PropulsionOptimizer failed: No feasible design candidates found.,Expand propulsion catalog or relax minimum thrust-to-weight constraints.
FW-080,MTOW_LIMIT_EXCEEDED,TRUE_MTOW_LIMIT,High,YES,UNKNOWN,NO,UNKNOWN,MTOW: 27.74 kg (MODERATE_EXCEEDANCE),"Reduce payload mass, range, or flight time constraints to shrink sized weight back below 25 kg."
FW-081,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.28 m) exceeds wing root chord (0.25 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-082,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.31 kg.",Update component database records with missing classes.
FW-083,COMPONENT_DATABASE_LIMITATION,COMPONENT_CATALOG_LIMITATION,High,NO,UNKNOWN,YES,UNKNOWN,COMPONENT_DATABASE_LIMITATION: Required communication range (200.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-084,SIZING_INFEASIBLE,SELECTOR_COORDINATION_PROBLEM,High,NO,YES,NO,UNKNOWN,"Sized fuselage width (0.34 m) exceeds wing root chord (0.30 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
