case_id,mission_category,pipeline_status,verification_status,failure_reason,payload_kg,range_km,endurance_min,cruise_speed_kmh,wing_position,propulsion_layout,tail_configuration,landing_gear,configuration_name,initial_mtow_kg,final_mtow_kg,payload_mass_kg,battery_mass_kg,battery_fraction,structural_mass_kg,propulsion_mass_kg,avionics_mass_kg,empty_mass_kg,useful_load_kg,battery_energy_wh,specific_energy_whkg,usable_fraction,wing_area_m2,wingspan_m,aspect_ratio,root_chord_m,tip_chord_m,mac_m,taper_ratio,sweep_deg,dihedral_deg,wing_loading_kg_m2,selected_airfoil,CLmax,fuselage_length_m,fuselage_width_m,fuselage_height_m,fineness_ratio,horizontal_tail_area_m2,horizontal_tail_span_m,vertical_tail_area_m2,vertical_tail_height_m,tail_arm_m,selected_motor,selected_propeller,selected_esc,motor_count,required_cruise_thrust_n,required_max_thrust_n,required_cruise_power_w,maximum_power_w,propulsive_efficiency,flight_controller,gps,telemetry,servo information,battery configuration,cg_x_m,cg_percent_mac,neutral_point_x_m,neutral_point_percent_mac,static_margin_percent,stall_speed_kmh,cruise_speed_kmh,maximum_speed_kmh,rate_of_climb_mps,takeoff_distance_m,landing_distance_m,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio,iteration_count,final_relative_mtow_delta,converged,requirement_compliance,constraint_compliance,stability_compliance,performance_compliance,safety_compliance,warnings_count,critical_failures_count,manual_review_priority,review_flags
FW-011,MAPPING,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Sized payload weight (0.51 kg) exceeds maximum structural payload weight constraint (0.26 kg).,0.25,25.3,89.7,75.9,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1114,1.0814,10.5,0.1373,0.0687,0.1068,0.5,0.0,3.0,13.467,Clark Y,1.223,0.811,0.122,0.149,6.65,0.0092,0.203,0.0074,0.122,0.65,SunnySky X2216,9x6 APC,,1,1.15,16.88,45.4,380,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-012,INSPECTION,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,0.41,35.6,27.8,73.0,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-013,SURVEY,SUCCESS,Verified,,0.61,14.3,63.8,85.3,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,1.525,5.951,0.61,1.343,0.226,3.533,0.205,0.26,3.998,1.953,268.6,200.0,0.85,0.4365,2.1408,10.5,0.2719,0.1359,0.2114,0.5,0.0,3.0,13.467,Clark Y,1.316,1.606,0.241,0.294,6.66,0.0359,0.402,0.0291,0.241,1.28,T-Motor MN5008,18x10 APC,,1,4.19,40.27,186.4,700,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,0.618,24.17,0.656,42.15,18.0,46.7,85.3,151.9,5.31,30.27,8.03,90.69,63.79,13.72,12,0.009306,True,Compliant,Compliant,Compliant,Compliant,Failed,0,0,REVIEW,Calculated endurance (63.8 min) < Required (63.8 min)
FW-014,AGRICULTURE,CONFIGURATION_INFEASIBLE,N/A,"Configuration selection failed: Low Wing configuration is incompatible with Belly Landing. Wings will strike the ground, causing structural damage. Select High or Parasol Wing.",0.62,10.0,42.7,60.6,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-015,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Sized payload weight (0.51 kg) exceeds maximum structural payload weight constraint (0.27 kg).,0.26,39.3,77.1,89.3,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1114,1.0814,10.5,0.1373,0.0687,0.1068,0.5,0.0,3.0,13.467,Clark Y,1.237,0.811,0.122,0.149,6.65,0.0092,0.203,0.0074,0.122,0.65,SunnySky X2216,9x6 APC,,1,1.15,16.88,53.4,380,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-016,SURVEY,SUCCESS,Verified,,0.62,34.3,87.5,87.9,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,1.55,8.125,0.62,2.576,0.317,4.394,0.275,0.26,4.929,3.196,515.2,200.0,0.85,0.5955,2.5005,10.5,0.3175,0.1588,0.247,0.5,0.0,3.0,13.467,Clark Y,1.351,1.875,0.281,0.344,6.67,0.049,0.47,0.0397,0.282,1.5,T-Motor AT3520,12x6 APC,,1,5.94,37.67,271.9,950,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,0.721,24.01,0.765,41.82,18.0,46.1,87.9,151.6,5.24,43.0,7.87,128.2,87.51,13.23,15,0.009863,True,Compliant,Compliant,Compliant,Compliant,Failed,0,0,NORMAL,
FW-017,AGRICULTURE,SIZING_INFEASIBLE,N/A,"Subsystem execution failed at iteration 1: Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (78.0 kmh, representing a 30.0% safety margin above clean stall).",0.55,30.7,28.5,66.7,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,,2.383,0.55,0.156,0.066,1.28,0.137,0.26,1.677,0.706,31.2,200.0,0.85,0.1114,0.914,7.5,0.1219,0.1219,0.1219,1.0,0.0,5.0,13.467,NACA 4412,1.251,0.685,0.112,0.137,6.12,0.0124,0.236,0.0074,0.122,0.55,SunnySky X2216,9x6 APC,,1,1.28,16.88,44.6,380,0.533,Matek H743-WING,Single GNSS,RFDesign RFD900ux,,,0.231,-15.18,,,57.1,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-018,AGRICULTURE,SIZING_INFEASIBLE,N/A,"Subsystem execution failed at iteration 1: Cruise speed (60.9 kmh) is below the minimum safe cruise speed boundary (74.9 kmh, representing a 30.0% safety margin above clean stall).",0.77,12.4,24.7,60.9,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,,2.826,0.77,0.154,0.054,1.505,0.137,0.26,1.902,0.924,30.8,200.0,0.85,0.1429,1.0354,7.5,0.138,0.138,0.138,1.0,0.0,5.0,13.467,NACA 4412,1.253,0.777,0.127,0.155,6.12,0.0159,0.267,0.0095,0.138,0.62,SunnySky X2216,9x6 APC,,1,1.65,16.88,52.2,380,0.533,Matek H743-WING,Single GNSS,RFDesign RFD900ux,,,0.251,-22.83,,,64.7,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-019,SURVEY,SIZING_INFEASIBLE,N/A,"Subsystem execution failed at iteration 1: Cruise speed (77.3 kmh) is below the minimum safe cruise speed boundary (81.4 kmh, representing a 20.0% safety margin above clean stall).",0.63,38.9,81.8,77.3,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,3.13,0.63,0.616,0.197,1.487,0.137,0.26,1.884,1.246,123.2,200.0,0.85,0.1169,1.1081,10.5,0.1407,0.0703,0.1094,0.5,0.0,3.0,13.467,Clark Y,1.227,0.831,0.125,0.152,6.65,0.0096,0.208,0.0078,0.125,0.67,SunnySky X2216,9x6 APC,,1,1.2,16.88,48.5,380,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,0.32,24.31,,,18.1,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-020,MAPPING,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Sized payload weight (0.51 kg) exceeds maximum structural payload weight constraint (0.50 kg).,0.48,26.4,80.5,61.6,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1114,1.0814,10.5,0.1373,0.0687,0.1068,0.5,0.0,3.0,13.467,Clark Y,1.209,0.811,0.122,0.149,6.65,0.0092,0.203,0.0074,0.122,0.65,SunnySky X2216,9x6 APC,,1,1.15,16.88,36.8,380,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-021,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Sized payload weight (1.95 kg) exceeds maximum structural payload weight constraint (1.45 kg).,1.38,78.3,63.9,77.3,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.2562,1.56,9.5,0.219,0.1095,0.1703,0.5,0.0,3.0,13.467,NACA 4412,1.318,1.17,0.162,0.198,7.22,0.0233,0.324,0.0171,0.185,0.94,SunnySky X2820,9x6 APC,,1,2.73,22.89,110.1,600,0.533,Holybro Pixhawk 6C,Dual GNSS,Silvus StreamCaster Lite,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-022,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (88.70 km).,1.2,88.7,118.0,70.6,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.2228,1.5294,10.5,0.1942,0.0971,0.1511,0.5,0.0,3.0,13.467,Clark Y,1.247,1.147,0.172,0.21,6.67,0.0183,0.287,0.0148,0.172,0.92,SunnySky X2216,12x6 APC,,1,2.29,20.45,84.4,380,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-023,INSPECTION,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,1.8,35.3,96.2,109.4,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-024,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,2.57,89.6,110.7,77.6,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.4771,2.7628,16.0,0.2199,0.0,0.1466,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-025,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,1.11,82.6,112.9,104.1,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.2061,1.8157,16.0,0.1445,0.0,0.0963,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-026,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,1.14,107.6,99.5,107.7,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.2116,1.8401,16.0,0.1464,0.0,0.0976,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-027,SECURITY,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,2.05,114.1,72.6,98.6,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-028,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Telemetry data link range (80.00 km) is below the minimum required communication range constraint (97.70 km).,1.63,97.7,54.8,88.3,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.3026,1.7824,10.5,0.2263,0.1132,0.176,0.5,0.0,3.0,13.467,Clark Y,1.293,1.337,0.201,0.245,6.65,0.0249,0.335,0.0202,0.201,1.07,SunnySky X2820,12x6 APC,,1,3.12,27.73,143.4,600,0.533,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-029,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Sized payload weight (1.95 kg) exceeds maximum structural payload weight constraint (1.78 kg).,1.7,36.2,78.0,81.4,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.3156,1.7315,9.5,0.243,0.1215,0.189,0.5,0.0,3.0,13.467,NACA 4412,1.339,1.299,0.18,0.22,7.22,0.0287,0.359,0.021,0.205,1.04,SunnySky X2820,9x6 APC,,1,3.37,22.89,142.9,600,0.533,Holybro Pixhawk 6C,Dual GNSS,Microhard PMDDL2450,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-030,INSPECTION,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,2.11,113.9,59.0,105.1,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.3917,2.5034,16.0,0.1992,0.0,0.1328,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-031,INSPECTION,CONFIGURATION_INFEASIBLE,N/A,Configuration selection failed: Landing gear Skid is incompatible with Runway landing. Select Tricycle or Taildragger landing gear.,2.21,94.6,72.5,95.4,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
FW-032,INSPECTION,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,1.55,30.3,149.1,95.5,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.2877,2.1456,16.0,0.1707,0.0,0.1138,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-033,SURVEY,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 8: Calculated takeoff weight (29.16 kg) exceeds maximum takeoff weight limit constraint (25.00 kg).,1.02,36.8,164.2,106.2,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,2.55,24.616,1.02,14.235,0.578,8.416,0.685,0.26,9.361,15.255,2847.0,200.0,0.85,1.7294,4.2614,10.5,0.5411,0.2706,0.4209,0.5,0.0,3.0,13.467,Clark Y,1.566,3.196,0.479,0.586,6.67,0.1423,0.8,0.1153,0.48,2.56,KDE Direct 7215XF,16x8 APC,,1,19.1,106.78,1057.0,3400,0.533,Holybro Pixhawk 6C,RTK GNSS,Microhard PMDDL2450,,,1.119,-2.19,1.188,14.21,18.1,48.6,106.2,173.0,6.21,37.24,7.13,290.64,164.2,11.96,8,0.205748,False,,,,,,0,0,NORMAL,
FW-034,INSPECTION,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,1.62,110.9,152.5,104.4,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.3007,2.1935,16.0,0.1745,0.0,0.1164,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-035,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,2.12,108.7,176.5,100.0,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.3935,2.5093,16.0,0.1997,0.0,0.1331,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-036,SECURITY,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,1.66,113.8,153.3,104.6,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.3082,2.2205,16.0,0.1767,0.0,0.1178,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-037,INSPECTION,SIZING_INFEASIBLE,N/A,Sizing engine validation error at iteration 1: Root airfoil thickness (8.7%) is too thin for a high aspect ratio wing (AR = 16.00). Select an airfoil with thickness ratio >= 9% to accommodate wing spars.,2.72,50.0,155.2,88.4,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.5049,2.8423,16.0,0.2262,0.0,0.1508,0.0,0.0,2.5,13.467,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-038,RESEARCH,SIZING_INFEASIBLE,N/A,Subsystem execution failed at iteration 1: Sized payload weight (1.95 kg) exceeds maximum structural payload weight constraint (1.64 kg).,1.56,36.2,149.4,84.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.2896,1.6586,9.5,0.2328,0.1164,0.1811,0.5,0.0,3.0,13.467,NACA 4412,1.338,1.244,0.172,0.211,7.23,0.0264,0.345,0.0193,0.196,0.99,SunnySky X2820,9x6 APC,,1,3.09,22.89,135.3,600,0.533,Holybro Pixhawk 6C,Dual GNSS,Microhard PMDDL2450,,,,,,,,,,,,,,,,,1,,False,,,,,,0,0,NORMAL,
FW-039,INSPECTION,INVALID_REQUIREMENTS,N/A,Mission processing failed: Mission range (118.5 km) is physically inconsistent with cruise speed (93.9 km/h) and flight time (50.2 min). Max theoretical range is 78.6 km.,2.16,118.5,50.2,93.9,,,,,,,,,,,,,,,,,200.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,False,,,,,,0,0,NORMAL,
