case_id,mission_type,payload_kg,endurance_min,range_km,cruise_speed_kmh,environment,takeoff_type,landing_type,budget,input_valid,selection_success,selected_vehicle_family,selection_score,alternative_vehicle,warnings,failure_category,failure_reason,execution_time_ms
32,SURVEY,2.0,30.0,20.0,350.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,0.042
33,MILITARY,0.87,21.8,3.7,21.7,INDOOR,VERTICAL,VERTICAL,6999.42,True,True,MULTIROTOR,0.8,None,,,,0.0671
34,SURVEY,4.17,34.7,72.3,118.6,RURAL,VERTICAL,VERTICAL,33557.07,True,True,VTOL,0.95,MULTIROTOR,,,,0.0666
35,SURVEY,7.46,52.3,55.0,69.5,RURAL,VERTICAL,VERTICAL,40805.01,True,True,VTOL,0.95,MULTIROTOR,,,,0.066
36,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0386
37,INSPECTION,0.33,6.4,3.2,17.9,INDOOR,VERTICAL,VERTICAL,24845.23,True,True,MULTIROTOR,0.8,None,,,,0.0617
38,INSPECTION,23.12,46.0,64.8,48.0,DESERT,VERTICAL,VERTICAL,33151.67,True,True,VTOL,0.95,MULTIROTOR,,,,0.07
39,INSPECTION,1.24,9.3,4.8,36.6,INDOOR,VERTICAL,VERTICAL,14652.4,True,True,MULTIROTOR,0.8,None,,,,0.0618
40,SURVEY,2.0,30.0,20.0,350.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,0.0354
41,SURVEY,3.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,-100.0,False,False,None,,None,,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,0.0088
42,RESEARCH,1.3,20.2,1.5,38.6,INDOOR,VERTICAL,VERTICAL,6347.35,True,True,MULTIROTOR,0.8,None,,,,0.0655
43,AGRICULTURE,2.02,15.4,14.1,24.3,RURAL,VERTICAL,VERTICAL,61312.16,True,True,MULTIROTOR,0.8,VTOL,,,,0.0649
44,RESEARCH,0.32,15.1,1.7,18.3,INDOOR,VERTICAL,VERTICAL,75025.24,True,True,MULTIROTOR,0.8,None,,,,0.0645
45,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0363
46,DISASTER_RESPONSE,7.75,82.5,137.4,117.7,RURAL,VERTICAL,VERTICAL,54416.89,True,True,VTOL,0.95,MULTIROTOR,,,,0.0742
47,DISASTER_RESPONSE,2.56,31.4,5.0,22.1,URBAN,VERTICAL,VERTICAL,76941.73,True,True,MULTIROTOR,0.8,VTOL,,,,0.0653
48,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.044
49,RESEARCH,0.36,16.2,0.5,39.3,INDOOR,VERTICAL,VERTICAL,30088.33,True,True,MULTIROTOR,0.8,None,,,,0.0619
50,DISASTER_RESPONSE,2.07,10.5,13.9,47.9,RURAL,VERTICAL,VERTICAL,5590.36,True,True,MULTIROTOR,0.8,VTOL,,,,0.0652
51,CUSTOM,6.69,98.6,57.9,63.2,FOREST,VERTICAL,VERTICAL,61128.13,True,True,VTOL,0.95,MULTIROTOR,,,,0.069
52,MAPPING,0.9,20.2,3.3,14.3,INDOOR,VERTICAL,VERTICAL,75506.25,True,True,MULTIROTOR,0.8,None,,,,0.0644
53,TRAINING,2.1,16.0,14.9,27.8,RURAL,VERTICAL,VERTICAL,30577.53,True,True,MULTIROTOR,0.8,VTOL,,,,0.0646
54,SURVEY,3.0,-10.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Target flight time must be greater than 0 minutes. Provided: -10.0 min.,0.0084
55,RESEARCH,3.49,14.7,10.3,36.4,RURAL,VERTICAL,VERTICAL,29123.78,True,True,MULTIROTOR,0.8,VTOL,,,,0.0719
56,AGRICULTURE,2.28,32.7,2.7,24.9,URBAN,VERTICAL,VERTICAL,11474.54,True,True,MULTIROTOR,0.8,VTOL,,,,0.0645
57,DELIVERY,3.05,97.8,107.9,79.5,MARINE,VERTICAL,VERTICAL,72670.88,True,True,VTOL,0.95,MULTIROTOR,,,,0.0661
58,CUSTOM,1.4,93.9,30.3,81.6,FOREST,HAND_LAUNCH,RUNWAY,30124.14,True,True,FIXED_WING,1.0,VTOL,,,,0.0696
59,INSPECTION,17.17,23.1,61.7,59.8,DESERT,VERTICAL,RUNWAY,19503.79,True,True,VTOL,0.95,MULTIROTOR,,,,0.0709
60,SURVEY,3.0,30.0,-5.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Target range must be greater than 0 km. Provided: -5.0 km.,0.0145
61,TRAINING,6.93,64.7,112.3,109.8,MOUNTAIN,VERTICAL,VERTICAL,39047.33,True,True,VTOL,0.95,MULTIROTOR,,,,0.2154
62,INSPECTION,0.4,14.0,2.5,20.2,INDOOR,VERTICAL,VERTICAL,9839.46,True,True,MULTIROTOR,0.8,None,,,,0.0846
63,SURVEY,2.0,30.0,500.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,Extended range target (500.0 km) approaches maximum battery energy density threshold.,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,0.0535
64,CUSTOM,2.85,21.0,7.1,34.9,RURAL,VERTICAL,VERTICAL,37187.06,True,True,MULTIROTOR,0.8,VTOL,,,,0.21
65,SURVEY,10.15,68.7,70.0,69.8,RURAL,VERTICAL,RUNWAY,24102.97,True,True,VTOL,0.95,MULTIROTOR,,,,0.1354
66,SECURITY,3.19,107.0,141.9,117.3,MOUNTAIN,VERTICAL,VERTICAL,5283.31,True,True,VTOL,0.95,MULTIROTOR,,,,0.1163
67,DELIVERY,22.67,77.0,71.1,62.4,RURAL,VERTICAL,RUNWAY,23821.09,True,True,VTOL,0.95,MULTIROTOR,,,,0.1757
68,SURVEY,1.33,7.7,4.8,30.5,INDOOR,VERTICAL,VERTICAL,41487.27,True,True,MULTIROTOR,0.8,None,,,,0.1166
69,DELIVERY,3.86,22.1,7.3,37.3,RURAL,VERTICAL,VERTICAL,78430.58,True,True,MULTIROTOR,0.8,VTOL,,,,0.0946
70,INSPECTION,3.68,50.0,67.4,90.6,MOUNTAIN,CATAPULT,BELLY_LANDING,36509.56,True,True,VTOL,0.8,MULTIROTOR,,,,0.0906
71,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0541
72,SURVEY,2.0,30.0,20.0,350.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,0.0455
73,DISASTER_RESPONSE,3.44,52.1,40.7,119.6,RURAL,VERTICAL,VERTICAL,53545.69,True,True,VTOL,0.95,MULTIROTOR,,,,0.0781
74,AGRICULTURE,2.95,21.5,4.5,22.8,URBAN,VERTICAL,VERTICAL,33243.15,True,True,MULTIROTOR,0.8,VTOL,,,,0.0724
75,SURVEY,14.63,36.5,39.5,63.6,DESERT,RUNWAY,RUNWAY,67434.84,True,True,FIXED_WING,1.0,VTOL,,,,0.0749
76,TRAINING,2.07,29.2,11.3,43.4,RURAL,VERTICAL,VERTICAL,19219.87,True,True,MULTIROTOR,0.8,VTOL,,,,0.0664
77,MILITARY,2.12,30.2,3.0,44.9,RURAL,VERTICAL,VERTICAL,38887.84,True,True,MULTIROTOR,0.8,VTOL,,,,0.0656
78,INSPECTION,1.91,18.9,8.9,39.7,URBAN,VERTICAL,VERTICAL,34129.78,True,True,MULTIROTOR,0.8,VTOL,,,,0.0646
79,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.0358
80,RESEARCH,7.68,106.9,85.5,79.2,MOUNTAIN,VERTICAL,VERTICAL,46538.1,True,True,VTOL,0.95,MULTIROTOR,,,,0.0666
81,SECURITY,0.85,32.9,7.2,29.8,RURAL,VERTICAL,VERTICAL,54486.91,True,True,MULTIROTOR,0.8,VTOL,,,,0.0799
82,SURVEY,9.58,88.3,61.9,82.7,MOUNTAIN,VERTICAL,RUNWAY,53044.8,True,True,VTOL,0.95,MULTIROTOR,,,,0.071
83,SECURITY,6.69,45.9,124.7,60.8,RURAL,VERTICAL,VERTICAL,55336.1,True,True,VTOL,0.95,MULTIROTOR,,,,0.0698
84,MILITARY,3.13,87.3,97.7,101.1,FOREST,VERTICAL,VERTICAL,7345.71,True,True,VTOL,0.95,MULTIROTOR,,,,0.0652
85,SURVEY,2.0,30.0,500.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,Extended range target (500.0 km) approaches maximum battery energy density threshold.,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,0.0398
86,AGRICULTURE,6.77,62.6,79.0,62.8,MARINE,VERTICAL,VERTICAL,13112.04,True,True,VTOL,0.95,MULTIROTOR,,,,0.0849
87,RESEARCH,1.05,24.6,2.3,32.6,INDOOR,VERTICAL,VERTICAL,63573.15,True,True,MULTIROTOR,0.8,None,,,,0.065
88,SURVEY,3.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,-100.0,False,False,None,,None,,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,0.0109
89,MAPPING,1.46,23.5,4.9,12.7,INDOOR,VERTICAL,VERTICAL,37969.84,True,True,MULTIROTOR,0.8,None,,,,0.0633
90,INSPECTION,15.56,64.9,54.5,53.5,RURAL,RUNWAY,VERTICAL,78588.41,True,True,VTOL,0.8,MULTIROTOR,,,,0.0665
91,INSPECTION,4.04,100.5,107.5,74.3,RURAL,VERTICAL,VERTICAL,58158.07,True,True,VTOL,0.95,MULTIROTOR,,,,0.0662
92,DELIVERY,1.61,25.5,9.9,24.1,RURAL,VERTICAL,VERTICAL,11904.2,True,True,MULTIROTOR,0.8,VTOL,,,,0.0646
93,RESEARCH,0.85,21.8,2.9,23.8,INDOOR,VERTICAL,VERTICAL,72026.6,True,True,MULTIROTOR,0.8,None,,,,0.0617
94,SURVEY,18.0,280.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (18.0 kg) and ultra-long endurance (280.0 min) is physically unachievable.,0.0365
95,MAPPING,5.33,52.5,72.7,86.8,FOREST,VERTICAL,VERTICAL,45506.29,True,True,VTOL,0.95,MULTIROTOR,,,,0.0706
96,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.0384
97,DISASTER_RESPONSE,1.19,7.1,2.5,14.7,INDOOR,VERTICAL,VERTICAL,31644.65,True,True,MULTIROTOR,0.8,None,,,,0.0624
98,AGRICULTURE,1.85,18.2,14.4,20.2,RURAL,VERTICAL,VERTICAL,71996.23,True,True,MULTIROTOR,0.8,VTOL,,,,0.0643
99,MILITARY,22.44,56.7,36.3,76.5,DESERT,RUNWAY,RUNWAY,28793.9,True,True,FIXED_WING,1.0,VTOL,,,,0.0689
100,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.0377
101,SECURITY,3.91,148.2,81.6,86.5,FOREST,CATAPULT,PARACHUTE,67819.88,True,True,FIXED_WING,1.0,VTOL,,,,0.0661
102,SURVEY,2.05,60.4,53.2,63.6,FOREST,VERTICAL,VERTICAL,69632.37,True,True,VTOL,0.95,MULTIROTOR,,,,0.0654
103,SURVEY,0.51,27.7,12.6,20.3,URBAN,VERTICAL,VERTICAL,18885.46,True,True,MULTIROTOR,0.8,VTOL,,,,0.0655
104,MAPPING,0.83,17.4,1.7,22.0,INDOOR,VERTICAL,VERTICAL,71031.74,True,True,MULTIROTOR,0.8,None,,,,0.0661
105,MILITARY,5.32,96.2,110.4,67.8,RURAL,VERTICAL,VERTICAL,72298.86,True,True,VTOL,0.95,MULTIROTOR,,,,0.0659
106,SECURITY,1.44,136.4,106.1,102.1,DESERT,RUNWAY,RUNWAY,26736.15,True,True,FIXED_WING,1.0,VTOL,,,,0.0665
107,SECURITY,2.95,49.1,71.0,95.6,MOUNTAIN,VERTICAL,VERTICAL,29484.35,True,True,VTOL,0.95,MULTIROTOR,,,,0.0736
108,SURVEY,2.0,30.0,500.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,Extended range target (500.0 km) approaches maximum battery energy density threshold.,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,0.0415
109,MILITARY,11.28,81.7,27.1,60.4,MOUNTAIN,VERTICAL,RUNWAY,54874.44,True,True,VTOL,0.8,MULTIROTOR,,,,0.9451
110,DELIVERY,1.45,96.7,37.3,74.1,DESERT,CATAPULT,BELLY_LANDING,15492.75,True,True,FIXED_WING,1.0,VTOL,,,,0.0982
111,RESEARCH,7.57,60.8,137.7,110.5,MARINE,VERTICAL,VERTICAL,42795.99,True,True,VTOL,0.95,MULTIROTOR,,,,0.0757
112,SURVEY,4.69,36.4,101.3,93.3,FOREST,VERTICAL,VERTICAL,21177.06,True,True,VTOL,0.95,MULTIROTOR,,,,0.071
113,SECURITY,0.11,22.6,4.7,11.6,INDOOR,VERTICAL,VERTICAL,69325.42,True,True,MULTIROTOR,0.8,None,,,,0.0648
114,DELIVERY,2.36,120.1,34.5,75.3,FOREST,HAND_LAUNCH,RUNWAY,73737.29,True,True,FIXED_WING,1.0,VTOL,,,,0.0683
115,SURVEY,2.5,62.6,119.0,60.8,FOREST,VERTICAL,VERTICAL,48754.63,True,True,VTOL,0.95,MULTIROTOR,,,,0.0696
116,RESEARCH,11.27,69.6,42.8,47.3,MOUNTAIN,RUNWAY,VERTICAL,24571.45,True,True,VTOL,0.8,MULTIROTOR,,,,0.0679
117,SURVEY,3.0,-10.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,10000.0,False,False,None,,None,,INVALID_REQUIREMENTS,Target flight time must be greater than 0 minutes. Provided: -10.0 min.,0.0104
118,RESEARCH,7.33,30.9,78.8,110.0,RURAL,VERTICAL,VERTICAL,15321.5,True,True,VTOL,0.95,MULTIROTOR,,,,0.0688
119,MAPPING,0.61,32.3,7.2,38.0,RURAL,VERTICAL,VERTICAL,53982.4,True,True,MULTIROTOR,0.8,VTOL,,,,0.0703
120,DELIVERY,3.51,13.7,5.4,46.5,RURAL,VERTICAL,VERTICAL,44602.29,True,True,MULTIROTOR,0.8,VTOL,,,,0.0757
121,CUSTOM,0.97,8.3,4.6,10.8,INDOOR,VERTICAL,VERTICAL,66504.25,True,True,MULTIROTOR,0.8,None,,,,0.0622
122,SURVEY,5.63,95.0,96.3,78.9,MARINE,VERTICAL,VERTICAL,37206.13,True,True,VTOL,0.95,MULTIROTOR,,,,0.0668
123,DELIVERY,1.8,13.9,4.7,38.6,RURAL,VERTICAL,VERTICAL,21819.55,True,True,MULTIROTOR,0.8,VTOL,,,,0.065
124,SECURITY,0.12,8.4,0.6,29.7,INDOOR,VERTICAL,VERTICAL,7557.0,True,True,MULTIROTOR,0.8,None,,,,0.0616
125,RESEARCH,4.26,90.4,88.1,109.8,MOUNTAIN,RUNWAY,PARACHUTE,12345.96,True,True,FIXED_WING,1.0,VTOL,,,,0.0663
126,MAPPING,18.64,41.3,45.3,45.2,DESERT,VERTICAL,VERTICAL,46049.85,True,True,VTOL,0.95,MULTIROTOR,,,,0.0674
127,DISASTER_RESPONSE,3.82,28.9,2.5,25.3,URBAN,VERTICAL,VERTICAL,77937.17,True,True,MULTIROTOR,0.8,VTOL,,,,0.0676
128,INSPECTION,4.45,35.7,128.0,114.6,MARINE,VERTICAL,VERTICAL,77888.36,True,True,VTOL,0.95,MULTIROTOR,,,,0.0661
129,INSPECTION,1.54,17.5,6.4,28.4,RURAL,VERTICAL,VERTICAL,64673.56,True,True,MULTIROTOR,0.8,VTOL,,,,0.0673
130,CUSTOM,1.83,71.2,34.1,82.9,DESERT,RUNWAY,RUNWAY,33774.42,True,True,FIXED_WING,1.0,VTOL,,,,0.0718
131,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0392
132,SECURITY,0.76,37.7,10.9,49.8,RURAL,VERTICAL,VERTICAL,60977.03,True,True,MULTIROTOR,0.8,VTOL,,,,0.071
133,SURVEY,25.0,30.0,250.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,0.0397
134,SURVEY,18.0,280.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (18.0 kg) and ultra-long endurance (280.0 min) is physically unachievable.,0.0386
135,RESEARCH,2.11,27.0,7.5,31.1,RURAL,VERTICAL,VERTICAL,73098.18,True,True,MULTIROTOR,0.8,VTOL,,,,0.0675
136,MAPPING,3.11,77.9,60.7,118.6,FOREST,VERTICAL,VERTICAL,23380.5,True,True,VTOL,0.95,MULTIROTOR,,,,0.0684
137,CUSTOM,5.99,60.1,74.6,105.3,RURAL,VERTICAL,VERTICAL,63534.6,True,True,VTOL,0.95,MULTIROTOR,,,,0.0655
138,SECURITY,23.41,47.8,49.9,73.4,MOUNTAIN,RUNWAY,VERTICAL,45130.51,True,True,VTOL,0.8,MULTIROTOR,,,,0.066
139,DELIVERY,1.49,15.3,0.6,13.0,INDOOR,VERTICAL,VERTICAL,49463.62,True,True,MULTIROTOR,0.8,None,,,,0.0655
140,SURVEY,3.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,-100.0,False,False,None,,None,,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,0.0091
141,INSPECTION,0.62,36.4,7.7,23.9,URBAN,VERTICAL,VERTICAL,37011.5,True,True,MULTIROTOR,0.8,VTOL,,,,0.0654
142,MILITARY,1.2,16.5,3.2,20.4,INDOOR,VERTICAL,VERTICAL,68846.23,True,True,MULTIROTOR,0.8,None,,,,0.0616
143,RESEARCH,1.26,11.9,2.8,19.7,INDOOR,VERTICAL,VERTICAL,71032.37,True,True,MULTIROTOR,0.8,None,,,,0.0614
144,DISASTER_RESPONSE,0.87,11.1,14.0,43.9,RURAL,VERTICAL,VERTICAL,48054.54,True,True,MULTIROTOR,0.8,VTOL,,,,0.0692
145,INSPECTION,1.16,12.0,4.1,37.4,INDOOR,VERTICAL,VERTICAL,48744.22,True,True,MULTIROTOR,0.8,None,,,,0.0683
146,DISASTER_RESPONSE,0.24,8.3,1.4,32.9,INDOOR,VERTICAL,VERTICAL,13407.67,True,True,MULTIROTOR,0.8,None,,,,0.242
147,CUSTOM,0.85,19.0,0.9,35.8,INDOOR,VERTICAL,VERTICAL,75670.72,True,True,MULTIROTOR,0.8,None,,,,0.1092
148,SURVEY,45.0,30.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,0.0483
149,DELIVERY,2.55,77.8,57.3,63.9,RURAL,VERTICAL,VERTICAL,24850.04,True,True,VTOL,0.95,MULTIROTOR,,,,0.0877
150,SURVEY,2.0,500.0,20.0,60.0,RURAL,VERTICAL,VERTICAL,,True,False,None,,None,,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,0.051
151,MILITARY,1.27,16.0,11.3,22.6,RURAL,VERTICAL,VERTICAL,47882.13,True,True,MULTIROTOR,0.8,VTOL,,,,0.0981
152,MILITARY,0.71,12.8,4.0,25.5,INDOOR,VERTICAL,VERTICAL,33626.76,True,True,MULTIROTOR,0.8,None,,,,0.0747
153,CUSTOM,2.18,17.9,9.7,26.7,RURAL,VERTICAL,VERTICAL,11903.01,True,True,MULTIROTOR,0.8,VTOL,,,,0.0771
