case_id,phase5c_status,phase5c_forensic_classification,phase5d_status,status_changed,change_expected,old_failure_stage,new_failure_stage,old_configuration,new_configuration,old_mtow,new_mtow,old_wingspan,new_wingspan,old_aspect_ratio,new_aspect_ratio,old_motor,new_motor,old_propeller,new_propeller,old_cg_percent_mac,new_cg_percent_mac,old_static_margin,new_static_margin,battery_position_valid,final_engineering_assessment
FW-011,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,1.081,0.914,10.5,7.5,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-012,CONFIGURATION_INFEASIBLE,configuration false rejection,SUCCESS,YES,YES,Configuration Sizing,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,3.136,N/A,1.662,N/A,12.0,None,SunnySky X2216,None,14x10 APC,N/A,32.23,N/A,9.5,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-013,SUCCESS,successful valid,SUCCESS,NO,YES,None,None,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,5.691,5.72,2.093,2.101,10.5,10.5,None,T-Motor MN5008,None,22x12 APC,N/A,24.14,18.0,18.0,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-014,CONFIGURATION_INFEASIBLE,configuration false rejection,PERFORMANCE_INFEASIBLE,YES,YES,Configuration Sizing,PERFORMANCE_INFEASIBLE,Low-Wing Single-Tractor Agricultural Sprayer,High Wing / Pusher,N/A,2.108,N/A,0.72,N/A,4.5,None,SunnySky X2216,None,11x7 APC,N/A,6.25,N/A,35.7,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-015,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,1.081,0.914,10.5,7.5,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-016,SUCCESS,successful valid,SUCCESS,NO,YES,None,None,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,7.828,7.583,2.457,2.417,10.5,10.5,None,T-Motor MN5008,None,22x12 APC,N/A,24.01,17.9,17.9,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-017,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,PERFORMANCE_INFEASIBLE,NO,YES,Performance Check,PERFORMANCE_INFEASIBLE,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing / Tractor,2.184,2.01,0.914,0.708,7.5,4.5,None,SunnySky X2216,None,11x7 APC,N/A,-12.91,40.9,54.6,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-018,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,PERFORMANCE_INFEASIBLE,NO,YES,Performance Check,PERFORMANCE_INFEASIBLE,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing / Tractor,2.406,2.21,1.035,0.802,7.5,4.5,None,SunnySky X2216,None,11x7 APC,N/A,-8.75,35.4,50.7,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-019,PERFORMANCE_INFEASIBLE,true physical/mission infeasibility,PERFORMANCE_INFEASIBLE,NO,YES,Performance Check,PERFORMANCE_INFEASIBLE,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,3.01,2.891,1.108,0.936,10.5,7.5,None,SunnySky X2216,None,11x7 APC,N/A,17.45,18.1,24.6,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-020,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,1.081,0.914,10.5,7.5,None,SunnySky X2216,None,11x7 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-021,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,1.56,1.29,9.5,6.5,None,SunnySky X2216,None,12x6 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-022,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,1.529,1.293,10.5,7.5,None,SunnySky X2216,None,14x10 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-023,CONFIGURATION_INFEASIBLE,configuration false rejection,SUCCESS,YES,YES,Configuration Sizing,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,24.778,N/A,4.67,N/A,12.0,None,KDE Direct 7215XF,None,22x12 APC,N/A,23.94,N/A,18.0,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-024,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,2.763,2.184,16.0,10.0,None,T-Motor MN5008,None,18x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-025,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,1.816,1.435,16.0,10.0,None,SunnySky X2216,None,12x6 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-026,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,1.84,1.455,16.0,10.0,None,SunnySky X2216,None,12x6 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-027,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,1.951,N/A,10.0,None,T-Motor MN5008,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-028,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,1.782,1.506,10.5,7.5,None,SunnySky X2216,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-029,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,1.732,1.432,9.5,6.5,None,T-Motor MN5008,None,14x10 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-030,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,2.503,1.979,16.0,10.0,None,T-Motor MN5008,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-031,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.026,N/A,10.0,None,T-Motor MN5008,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-032,SIZING_INFEASIBLE,wing/fuselage coordination rejection,MTOW_LIMIT_EXCEEDED,YES,YES,None,MTOW_LIMIT_EXCEEDED,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,24.587,2.146,4.247,16.0,10.0,None,KDE Direct 7215XF,None,22x12 APC,N/A,17.7,N/A,11.0,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-033,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,MTOW_LIMIT_EXCEEDED,NO,YES,Mass Sizing,MTOW_LIMIT_EXCEEDED,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,21.602,21.809,3.991,3.384,10.5,7.5,None,KDE Direct 7215XF,None,22x12 APC,N/A,2.99,18.0,18.0,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-034,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,2.193,1.734,16.0,10.0,None,SunnySky X2216,None,15x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-035,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,2.509,1.984,16.0,10.0,None,T-Motor MN5008,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-036,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,2.22,1.755,16.0,10.0,None,SunnySky X2216,None,15x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-037,SIZING_INFEASIBLE,wing/fuselage coordination rejection,SUCCESS,YES,YES,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,20.551,2.842,4.592,16.0,14.0,None,KDE Direct 7215XF,None,22x12 APC,N/A,23.92,N/A,11.1,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-038,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,1.659,1.372,9.5,6.5,None,SunnySky X2216,None,13x8 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-039,INVALID_REQUIREMENTS,true physical/mission infeasibility,INVALID_REQUIREMENTS,NO,YES,Input Validation,INVALID_REQUIREMENTS,None,None,N/A,N/A,N/A,N/A,N/A,N/A,None,None,None,None,N/A,N/A,N/A,N/A,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-040,CONFIGURATION_INFEASIBLE,configuration false rejection,SUCCESS,YES,YES,Configuration Sizing,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,4.822,N/A,2.251,N/A,14.0,None,T-Motor MN5008,None,18x10 APC,N/A,29.89,N/A,12.3,YES,SUCCESS_VALID: Design successfully converged and passed all physical & stability checks.
FW-041,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.044,N/A,10.0,None,T-Motor MN5008,None,16x8 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-042,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,1.601,N/A,10.0,None,SunnySky X2216,None,13x8 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-043,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,1.583,1.309,9.5,6.5,None,SunnySky X2216,None,13x8 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-044,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,2.945,2.328,16.0,10.0,None,T-Motor MN5008,None,20x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-045,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,MTOW_LIMIT_EXCEEDED,NO,YES,Mass Sizing,MTOW_LIMIT_EXCEEDED,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,22.859,23.488,4.146,3.548,10.5,7.5,None,KDE Direct 7215XF,None,22x12 APC,N/A,10.68,18.0,18.1,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-046,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,3.672,2.903,16.0,10.0,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-047,CONFIGURATION_INFEASIBLE,configuration false rejection,MTOW_LIMIT_EXCEEDED,YES,YES,Configuration Sizing,MTOW_LIMIT_EXCEEDED,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,23.952,N/A,4.133,N/A,10.0,None,KDE Direct 7215XF,None,22x12 APC,N/A,2.11,N/A,18.0,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-048,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,3.997,3.16,16.0,10.0,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-049,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.739,N/A,10.0,None,T-Motor AT3520,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-050,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,2.636,2.18,9.5,6.5,None,T-Motor AT3520,None,20x10 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-051,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,2.398,1.983,9.5,6.5,None,T-Motor AT3520,None,18x10 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-052,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,4.143,3.276,16.0,10.0,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-053,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,3.466,2.866,9.5,6.5,None,KDE Direct 7215XF,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-054,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.909,N/A,10.0,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-055,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,3.157,N/A,10.0,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-056,SIZING_INFEASIBLE,wing/fuselage coordination rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,None,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Twin Boom Pusher,N/A,N/A,3.784,2.991,16.0,10.0,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-057,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.441,N/A,10.0,None,T-Motor AT3520,None,20x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-058,MTOW_LIMIT_EXCEEDED,true physical/mission infeasibility,MTOW_LIMIT_EXCEEDED,NO,YES,Mass Sizing,MTOW_LIMIT_EXCEEDED,High-Wing Conventional Research UAV,High Wing / Tractor,19.595,19.717,3.571,2.958,9.5,6.5,None,KDE Direct 7215XF,None,22x12 APC,N/A,-4.03,18.0,18.0,N/A,TRUE_MISSION_INFEASIBILITY: Sizing failed due to target range/MTOW limits.
FW-059,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,3.092,2.557,9.5,6.5,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-060,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Conventional Research UAV,High Wing / Tractor,N/A,N/A,3.057,2.529,9.5,6.5,None,T-Motor AT4120,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-061,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.516,N/A,10.0,None,T-Motor AT3520,None,20x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-062,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.467,N/A,10.0,None,T-Motor AT3520,None,20x10 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-063,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,3.507,2.964,10.5,7.5,None,KDE Direct 7215XF,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
FW-064,CONFIGURATION_INFEASIBLE,configuration false rejection,COMPONENT_DATABASE_LIMITATION,YES,YES,Configuration Sizing,COMPONENT_DATABASE_LIMITATION,Twin-Boom Pusher Long-Endurance Monoplane,High Wing / Tractor,N/A,N/A,N/A,2.749,N/A,10.0,None,T-Motor AT3520,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,CLEANLY_REJECTED: Sizing failed verification compliance checks.
FW-065,COMPONENT_DATABASE_LIMITATION,catalog limitation,COMPONENT_DATABASE_LIMITATION,NO,YES,Component Sizing,COMPONENT_DATABASE_LIMITATION,High-Wing Rear-Pusher Survey Drone,High Wing / Pusher,N/A,N/A,2.912,2.461,10.5,7.5,None,T-Motor U8 Lite,None,22x12 APC,N/A,N/A,N/A,N/A,N/A,COMPONENT_DATABASE_LIMITATION: Sizing blocked by telemetry/payload limits of database.
