case_id,mission_category,pipeline_status,verification_status,failure_reason,payload_kg,range_km,endurance_min,cruise_speed_kmh,wing_position,propulsion_layout,tail_configuration,landing_gear,configuration_name,initial_mtow_kg,final_mtow_kg,payload_mass_kg,battery_mass_kg,battery_fraction,structural_mass_kg,propulsion_mass_kg,avionics_mass_kg,empty_mass_kg,useful_load_kg,battery_energy_wh,specific_energy_whkg,usable_fraction,wing_area_m2,wingspan_m,aspect_ratio,root_chord_m,tip_chord_m,mac_m,taper_ratio,sweep_deg,dihedral_deg,wing_loading_kg_m2,selected_airfoil,CLmax,fuselage_length_m,fuselage_width_m,fuselage_height_m,fineness_ratio,horizontal_tail_area_m2,horizontal_tail_span_m,vertical_tail_area_m2,vertical_tail_height_m,tail_arm_m,selected_motor,selected_propeller,selected_esc,motor_count,required_cruise_thrust_n,required_max_thrust_n,required_cruise_power_w,maximum_power_w,propulsive_efficiency,flight_controller,gps,telemetry,servo information,battery configuration,cg_x_m,cg_percent_mac,neutral_point_x_m,neutral_point_percent_mac,static_margin_percent,stall_speed_kmh,perf_cruise_speed_kmh,maximum_speed_kmh,rate_of_climb_mps,takeoff_distance_m,landing_distance_m,calculated_range_km,calculated_endurance_min,lift_to_drag_ratio,iteration_count,final_relative_mtow_delta,converged,requirement_compliance,constraint_compliance,stability_compliance,performance_compliance,safety_compliance,warnings_count,critical_failures_count,manual_review_priority,review_flags
FW-011,MAPPING,COMPONENT_DATABASE_LIMITATION,N/A,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.26 kg.",0.25,25.3,89.7,75.9,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1114,0.914,7.5,0.163,0.081,0.126,0.5,0.0,3.0,13.47,Clark Y,1.237,0.685,0.103,0.126,6.65,0.0128,0.24,0.0074,0.122,,SunnySky X2216,11x7 APC,Generic ESC,1,1.28,5.15,50.7,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-012,INSPECTION,SUCCESS,VERIFIED,,0.41,35.6,27.8,73.0,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,1.5,3.136,0.15,0.205,0.065,2.384,0.137,0.26,2.781,0.355,41.0,200.0,0.85,0.2302,1.662,12.0,0.176,0.0,0.118,0.0,0.0,2.5,13.47,Clark Y,1.241,1.247,0.15,0.183,8.31,0.0122,0.259,0.0134,0.183,,SunnySky X2216,14x10 APC,Generic ESC,1,1.82,12.16,69.4,380,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.481,32.23,0.492,41.58,9.5,48.1,73.0,132.1,5.66,29.96,8.41,33.81,27.79,16.63,9,0.008546,True,Compliant,Compliant,Compliant,Compliant,Compliant,2,0,NORMAL,
FW-013,SURVEY,SUCCESS,VERIFIED,,0.61,14.3,63.8,85.3,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,1.525,5.72,0.51,1.302,0.228,3.443,0.205,0.26,3.908,1.812,260.4,200.0,0.85,0.4205,2.101,10.5,0.267,0.133,0.207,0.5,0.0,3.0,13.47,Clark Y,1.313,1.576,0.236,0.289,6.68,0.0346,0.395,0.028,0.237,,T-Motor MN5008,22x12 APC,Generic ESC,1,4.04,27.77,179.8,700,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.606,24.14,0.643,41.98,18.0,46.7,85.3,153.8,5.56,25.59,8.05,90.71,63.8,13.7,13,0.007558,True,Compliant,Compliant,Compliant,Compliant,Compliant,1,0,NORMAL,
FW-014,AGRICULTURE,PERFORMANCE_INFEASIBLE,N/A,"Flight performance validation error at iteration 1: Cruise speed (60.6 kmh) is below the minimum safe cruise speed boundary (71.9 kmh, representing a 30.0% safety margin above clean stall).",0.62,10.0,42.7,60.6,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,2.108,0.35,0.246,0.117,1.115,0.137,0.26,1.512,0.596,49.2,200.0,0.85,0.1151,0.72,4.5,0.16,0.16,0.16,1.0,0.0,5.0,13.47,NACA 4412,1.263,0.54,0.093,0.108,5.81,0.0213,0.31,0.0077,0.124,,SunnySky X2216,11x7 APC,Generic ESC,1,1.5,7.6,47.4,380,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.223,6.25,,,35.7,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-015,SURVEY,COMPONENT_DATABASE_LIMITATION,N/A,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.27 kg.",0.26,39.3,77.1,89.3,High Wing,Pusher,Conventional,Tricycle,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1114,0.914,7.5,0.163,0.081,0.126,0.5,0.0,3.0,13.47,Clark Y,1.253,0.685,0.103,0.126,6.65,0.0128,0.24,0.0074,0.122,,SunnySky X2216,11x7 APC,Generic ESC,1,1.28,7.35,59.7,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-016,SURVEY,SUCCESS,VERIFIED,,0.62,34.3,87.5,87.9,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,1.55,7.583,0.51,2.422,0.319,4.186,0.205,0.26,4.651,2.932,484.4,200.0,0.85,0.5562,2.417,10.5,0.307,0.153,0.239,0.5,0.0,3.0,13.47,Clark Y,1.344,1.812,0.272,0.332,6.66,0.0458,0.454,0.0371,0.272,,T-Motor MN5008,22x12 APC,Generic ESC,1,5.54,25.71,254.0,700,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.697,24.01,0.74,42.02,17.9,46.2,87.9,140.1,3.9,32.93,7.9,128.18,87.5,13.22,15,0.009292,True,Compliant,Compliant,Compliant,Compliant,Compliant,1,0,NORMAL,
FW-017,AGRICULTURE,PERFORMANCE_INFEASIBLE,N/A,"Flight performance validation error at iteration 1: Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (71.1 kmh, representing a 30.0% safety margin above clean stall).",0.55,30.7,28.5,66.7,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,,2.01,0.35,0.173,0.086,1.09,0.137,0.26,1.487,0.523,34.6,200.0,0.85,0.1114,0.708,4.5,0.157,0.157,0.157,1.0,0.0,5.0,13.47,NACA 4412,1.269,0.531,0.093,0.106,5.71,0.0206,0.304,0.0074,0.122,,SunnySky X2216,11x7 APC,Generic ESC,1,1.45,7.35,50.5,380,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.189,-12.91,,,54.6,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-018,AGRICULTURE,PERFORMANCE_INFEASIBLE,N/A,"Flight performance validation error at iteration 1: Cruise speed (60.9 kmh) is below the minimum safe cruise speed boundary (65.8 kmh, representing a 30.0% safety margin above clean stall).",0.77,12.4,24.7,60.9,Low Wing,Tractor,Conventional,Taildragger,Low Wing / Tractor,,2.21,0.35,0.171,0.077,1.292,0.137,0.26,1.689,0.521,34.2,200.0,0.85,0.1429,0.802,4.5,0.178,0.178,0.178,1.0,0.0,5.0,13.47,NACA 4412,1.272,0.602,0.098,0.12,6.14,0.0265,0.345,0.0095,0.138,,SunnySky X2216,11x7 APC,Generic ESC,1,1.86,9.44,59.2,380,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,0.221,-8.75,,,50.7,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-019,SURVEY,PERFORMANCE_INFEASIBLE,N/A,"Flight performance validation error at iteration 1: Cruise speed (77.3 kmh) is below the minimum safe cruise speed boundary (77.8 kmh, representing a 20.0% safety margin above clean stall).",0.63,38.9,81.8,77.3,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,2.891,0.51,0.662,0.229,1.322,0.137,0.26,1.719,1.172,132.4,200.0,0.85,0.1169,0.936,7.5,0.167,0.083,0.13,0.5,0.0,3.0,13.47,Clark Y,1.241,0.702,0.105,0.129,6.69,0.0135,0.246,0.0078,0.125,,SunnySky X2216,11x7 APC,Generic ESC,1,1.35,7.72,54.2,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,0.28,17.45,,,24.6,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-020,MAPPING,COMPONENT_DATABASE_LIMITATION,N/A,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.50 kg.",0.48,26.4,80.5,61.6,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.1114,0.914,7.5,0.163,0.081,0.126,0.5,0.0,3.0,13.47,Clark Y,1.22,0.685,0.103,0.126,6.65,0.0128,0.24,0.0074,0.122,,SunnySky X2216,11x7 APC,Generic ESC,1,1.28,7.35,41.2,380,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-021,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.45 kg.",1.38,78.3,63.9,77.3,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.2562,1.29,6.5,0.265,0.132,0.206,0.5,0.0,3.0,13.47,NACA 4412,1.344,0.968,0.134,0.164,7.22,0.0341,0.392,0.0171,0.185,,SunnySky X2216,12x6 APC,Generic ESC,1,3.07,16.92,123.6,380,0.65,Pixhawk 6C,GPS Module,Silvus StreamCaster Lite,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-022,SURVEY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (88.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.2,88.7,118.0,70.6,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.2228,1.293,7.5,0.23,0.115,0.179,0.5,0.0,3.0,13.47,Clark Y,1.266,0.969,0.145,0.178,6.68,0.0257,0.34,0.0148,0.172,,SunnySky X2216,14x10 APC,Generic ESC,1,2.56,14.71,94.3,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-023,INSPECTION,SUCCESS,VERIFIED,,1.8,35.3,96.2,109.4,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,4.5,24.778,0.15,13.419,0.542,10.264,0.685,0.26,11.209,13.569,2683.8,200.0,0.85,1.8178,4.67,12.0,0.496,0.0,0.33,0.0,0.0,2.5,13.47,Clark Y,1.542,3.503,0.42,0.514,8.34,0.0965,0.729,0.106,0.515,,KDE Direct 7215XF,22x12 APC,Generic ESC,1,24.85,84.03,1417.0,3400,0.65,Pixhawk 6C,GPS Module,RFDesign RFD900ux,4x Digital Servo,LiPo Pack,1.324,23.94,1.384,42.1,18.0,43.1,109.4,159.9,6.03,32.88,7.07,175.4,96.2,9.64,34,0.009089,True,Compliant,Compliant,Compliant,Compliant,Compliant,2,0,NORMAL,
FW-024,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (89.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,2.57,89.6,110.7,77.6,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.4771,2.184,10.0,0.278,0.0,0.185,0.0,0.0,2.5,13.47,MH 32,1.111,1.638,0.197,0.24,8.31,0.0304,0.409,0.0278,0.264,,T-Motor MN5008,18x10 APC,Generic ESC,1,5.0,25.2,202.2,700,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-025,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (82.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.11,82.6,112.9,104.1,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.2061,1.435,10.0,0.183,0.0,0.122,0.0,0.0,2.5,13.47,MH 32,1.096,1.077,0.129,0.158,8.35,0.0131,0.268,0.012,0.173,,SunnySky X2216,12x6 APC,Generic ESC,1,2.16,10.89,117.2,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-026,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (107.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.14,107.6,99.5,107.7,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.2116,1.455,10.0,0.185,0.0,0.123,0.0,0.0,2.5,13.47,MH 32,1.101,1.091,0.131,0.16,8.33,0.0135,0.272,0.0123,0.175,,SunnySky X2216,12x6 APC,Generic ESC,1,2.22,11.18,124.5,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-027,SECURITY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (114.10 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,2.05,114.1,72.6,98.6,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.3805,1.951,10.0,0.248,0.0,0.166,0.0,0.0,2.5,13.47,MH 32,1.129,1.463,0.176,0.215,8.31,0.0242,0.365,0.0222,0.236,,T-Motor MN5008,16x8 APC,Generic ESC,1,3.99,17.59,205.0,700,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-028,SURVEY,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (97.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,1.63,97.7,54.8,88.3,High Wing,Pusher,Conventional,Belly Landing,High Wing / Pusher,,,,,,,,,,,,200.0,0.85,0.3026,1.506,7.5,0.268,0.134,0.208,0.5,0.0,3.0,13.47,Clark Y,1.32,1.13,0.169,0.207,6.69,0.0349,0.396,0.0202,0.201,,SunnySky X2216,16x8 APC,Generic ESC,1,3.48,19.98,160.3,380,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-029,RESEARCH,COMPONENT_DATABASE_LIMITATION,N/A,"Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.78 kg.",1.7,36.2,78.0,81.4,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.3156,1.432,6.5,0.294,0.147,0.229,0.5,0.0,3.0,13.47,NACA 4412,1.371,1.074,0.149,0.182,7.21,0.042,0.435,0.021,0.205,,T-Motor MN5008,14x10 APC,Generic ESC,1,3.78,14.59,160.4,700,0.65,Pixhawk 6C,GPS Module,Microhard PMDDL2450,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-030,INSPECTION,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (113.90 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,2.11,113.9,59.0,105.1,High Wing,Twin Boom Pusher,Twin Boom,Skid,High Wing / Twin Boom Pusher,,,,,,,,,,,,200.0,0.85,0.3917,1.979,10.0,0.252,0.0,0.168,0.0,0.0,2.5,13.47,MH 32,1.142,1.484,0.178,0.218,8.34,0.0249,0.37,0.0229,0.239,,T-Motor MN5008,16x8 APC,Generic ESC,1,4.11,20.69,224.9,700,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
FW-031,INSPECTION,COMPONENT_DATABASE_LIMITATION,N/A,Subsystem execution failed at iteration 1: COMPONENT_DATABASE_LIMITATION: Required communication range (94.60 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,2.21,94.6,72.5,95.4,High Wing,Tractor,Conventional,Tricycle,High Wing / Tractor,,,,,,,,,,,,200.0,0.85,0.4102,2.026,10.0,0.258,0.0,0.172,0.0,0.0,2.5,13.47,MH 32,1.13,1.519,0.182,0.223,8.35,0.0261,0.379,0.0239,0.244,,T-Motor MN5008,16x8 APC,Generic ESC,1,4.3,18.96,213.8,700,0.65,Pixhawk 6C,GPS Module,,4x Digital Servo,LiPo Pack,,,,,,,,,,,,,,,1,,False,,,,,,1,0,HIGH,
