CASE_ID,CASE_CATEGORY,MISSION_TYPE,PAYLOAD_KG,RANGE_KM,ENDURANCE_MIN,CRUISE_SPEED_KMH,HOVER_REQUIRED,VTOL_REQUIRED,RUNWAY_AVAILABLE,CONFINED_OPERATION,ENVIRONMENT,OPTIMIZATION_PRIORITY,EXPECTED_FAMILY,RAW_SELECTOR_OUTPUT,NORMALIZED_FAMILY_OUTPUT,SELECTED_SCORE,CONFIDENCE,ALTERNATIVE_CANDIDATES,REASONING_PROS,PENALTIES_CONS,VALIDATION_RESULT,FINAL_TEST_CLASSIFICATION,MANUAL_REVIEW,MANUAL_EXPECTED_FAMILY,MANUAL_PASS_FAIL,REVIEWER_COMMENT
CASE_MR_001,DETERMINISTIC,INSPECTION,0.1,1.0,10.0,40.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_018,DETERMINISTIC,DISASTER_RESPONSE,8.0,1.0,35.0,57.0,True,True,False,False,RURAL,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,OCTOCOPTER:0.6; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_019,DETERMINISTIC,DELIVERY,12.0,2.0,40.0,58.0,True,True,False,False,MOUNTAIN,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_020,DETERMINISTIC,RESEARCH,15.0,2.0,40.0,59.0,True,True,False,False,FOREST,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_021,DETERMINISTIC,INSPECTION,0.1,3.0,40.0,40.0,True,True,False,False,DESERT,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_022,DETERMINISTIC,SECURITY,0.25,3.0,10.0,41.0,True,True,False,False,COASTAL,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_023,DETERMINISTIC,DISASTER_RESPONSE,0.5,5.0,10.0,42.0,True,True,False,False,MARINE,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_024,DETERMINISTIC,DELIVERY,1.0,5.0,10.0,43.0,True,True,False,False,INDOOR,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_025,DETERMINISTIC,RESEARCH,2.0,8.0,15.0,44.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_026,DETERMINISTIC,INSPECTION,3.0,8.0,15.0,45.0,True,True,False,False,RURAL,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_027,DETERMINISTIC,SECURITY,5.0,10.0,15.0,46.0,True,True,False,False,MOUNTAIN,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_028,DETERMINISTIC,DISASTER_RESPONSE,8.0,10.0,20.0,47.0,True,True,False,False,FOREST,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,VTOL:0.8; OCTOCOPTER:0.6; QUADCOPTER:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_029,DETERMINISTIC,DELIVERY,12.0,12.0,20.0,48.0,True,True,False,False,DESERT,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; VTOL:0.8; QUADCOPTER:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_030,DETERMINISTIC,RESEARCH,15.0,12.0,20.0,49.0,True,True,False,False,COASTAL,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; VTOL:0.8; QUADCOPTER:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_031,DETERMINISTIC,INSPECTION,0.1,14.0,25.0,50.0,True,True,False,False,MARINE,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_032,DETERMINISTIC,SECURITY,0.25,14.0,25.0,51.0,True,True,False,False,INDOOR,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_033,DETERMINISTIC,DISASTER_RESPONSE,0.5,1.0,25.0,52.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_034,DETERMINISTIC,DELIVERY,1.0,1.0,30.0,53.0,True,True,False,False,RURAL,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_035,DETERMINISTIC,RESEARCH,2.0,2.0,30.0,54.0,True,True,False,False,MOUNTAIN,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_036,DETERMINISTIC,INSPECTION,3.0,2.0,30.0,55.0,True,True,False,False,FOREST,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_037,DETERMINISTIC,SECURITY,5.0,3.0,35.0,56.0,True,True,False,False,DESERT,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_038,DETERMINISTIC,DISASTER_RESPONSE,8.0,3.0,35.0,57.0,True,True,False,False,COASTAL,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,OCTOCOPTER:0.6; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_039,DETERMINISTIC,DELIVERY,12.0,5.0,35.0,58.0,True,True,False,False,MARINE,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_040,DETERMINISTIC,RESEARCH,15.0,5.0,40.0,59.0,True,True,False,False,INDOOR,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_041,DETERMINISTIC,INSPECTION,0.1,8.0,40.0,40.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_042,DETERMINISTIC,SECURITY,0.25,8.0,40.0,41.0,True,True,False,False,RURAL,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_043,DETERMINISTIC,DISASTER_RESPONSE,0.5,10.0,10.0,42.0,True,True,False,False,MOUNTAIN,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_044,DETERMINISTIC,DELIVERY,1.0,10.0,10.0,43.0,True,True,False,False,FOREST,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_045,DETERMINISTIC,RESEARCH,2.0,12.0,10.0,44.0,True,True,False,False,DESERT,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_046,DETERMINISTIC,INSPECTION,3.0,12.0,15.0,45.0,True,True,False,False,COASTAL,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_047,DETERMINISTIC,SECURITY,5.0,14.0,15.0,46.0,True,True,False,False,MARINE,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_048,DETERMINISTIC,DISASTER_RESPONSE,8.0,14.0,15.0,47.0,True,True,False,False,INDOOR,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,VTOL:0.8; OCTOCOPTER:0.6; QUADCOPTER:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_049,DETERMINISTIC,DELIVERY,12.0,1.0,20.0,48.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_050,DETERMINISTIC,RESEARCH,15.0,1.0,20.0,49.0,True,True,False,False,RURAL,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_051,DETERMINISTIC,INSPECTION,0.1,2.0,20.0,50.0,True,True,False,False,MOUNTAIN,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_052,DETERMINISTIC,SECURITY,0.25,2.0,25.0,51.0,True,True,False,False,FOREST,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_053,DETERMINISTIC,DISASTER_RESPONSE,0.5,3.0,25.0,52.0,True,True,False,False,DESERT,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_054,DETERMINISTIC,DELIVERY,1.0,3.0,25.0,53.0,True,True,False,False,COASTAL,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_055,DETERMINISTIC,RESEARCH,2.0,5.0,30.0,54.0,True,True,False,False,MARINE,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_056,DETERMINISTIC,INSPECTION,3.0,5.0,30.0,55.0,True,True,False,False,INDOOR,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_057,DETERMINISTIC,SECURITY,5.0,8.0,30.0,56.0,True,True,False,True,URBAN,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,QUADCOPTER:0.8; OCTOCOPTER:0.6; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_058,DETERMINISTIC,DISASTER_RESPONSE,8.0,8.0,35.0,57.0,True,True,False,False,RURAL,BALANCED,MULTIROTOR,HEXACOPTER,MULTIROTOR,0.9,0.9,OCTOCOPTER:0.6; QUADCOPTER:0.55; VTOL:0.55; FIXED_WING:0.0,Single motor failure redundancy | Good payload capacity (2-10 kg) | Precision vertical hover | Optimal payload mass match (2-10 kg).,,VALID,PASS,,,,
CASE_MR_059,DETERMINISTIC,DELIVERY,12.0,10.0,35.0,58.0,True,True,False,False,MOUNTAIN,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; VTOL:0.8; QUADCOPTER:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_060,DETERMINISTIC,RESEARCH,15.0,10.0,35.0,59.0,True,True,False,False,FOREST,BALANCED,MULTIROTOR,OCTOCOPTER,MULTIROTOR,0.9,0.88,HEXACOPTER:0.8; VTOL:0.8; QUADCOPTER:0.55; FIXED_WING:0.0,High payload capacity (> 10 kg) | Dual motor failure redundancy | High structural stability | Excellent heavy payload handling.,,VALID,PASS,,,,
CASE_MR_061,DETERMINISTIC,INSPECTION,0.1,12.0,40.0,40.0,True,True,False,False,DESERT,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_062,DETERMINISTIC,SECURITY,0.25,12.0,40.0,41.0,True,True,False,False,COASTAL,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
CASE_MR_063,DETERMINISTIC,DISASTER_RESPONSE,0.5,14.0,40.0,42.0,True,True,False,False,MARINE,BALANCED,MULTIROTOR,QUADCOPTER,MULTIROTOR,0.8,0.9,HEXACOPTER:0.8; VTOL:0.8; OCTOCOPTER:0.6; FIXED_WING:0.0,Vertical takeoff and precision hover capability | Low mechanical and electronic complexity | Low baseline system cost,,VALID,PASS,,,,
