case_id,case_category,mission_type,payload_kg,range_km,endurance_min,cruise_speed_kmh,hover_required,vtol_required,runway_available,confined_operation,environment,expected_family,old_raw_output,old_normalized_family,new_status,new_selected_family,MULTIROTOR_score,FIXED_WING_score,VTOL_score,eligible_families,eliminated_families,confidence,reasoning,automatic_result,MANUAL_REVIEW,MANUAL_EXPECTED_FAMILY,MANUAL_PASS_FAIL,REVIEWER_COMMENT
CASE_MR_011,DETERMINISTIC,INSPECTION,0.1,10.0,25.0,50.0,True,True,False,False,MOUNTAIN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_012,DETERMINISTIC,SECURITY,0.25,10.0,25.0,51.0,True,True,False,False,FOREST,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_013,DETERMINISTIC,DISASTER_RESPONSE,0.5,12.0,30.0,52.0,True,True,False,False,DESERT,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_014,DETERMINISTIC,DELIVERY,1.0,12.0,30.0,53.0,True,True,False,False,COASTAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_015,DETERMINISTIC,RESEARCH,2.0,14.0,30.0,54.0,True,True,False,False,MARINE,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_016,DETERMINISTIC,INSPECTION,3.0,14.0,35.0,55.0,True,True,False,False,INDOOR,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.0,MULTIROTOR,FIXED_WING:Indoor operating environment prohibits wing-borne forward cruise flight.; VTOL:Indoor operating environment prohibits wing-borne forward cruise flight.,0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_017,DETERMINISTIC,SECURITY,5.0,1.0,35.0,56.0,True,True,False,True,URBAN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_018,DETERMINISTIC,DISASTER_RESPONSE,8.0,1.0,35.0,57.0,True,True,False,False,RURAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_019,DETERMINISTIC,DELIVERY,12.0,2.0,40.0,58.0,True,True,False,False,MOUNTAIN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_020,DETERMINISTIC,RESEARCH,15.0,2.0,40.0,59.0,True,True,False,False,FOREST,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_021,DETERMINISTIC,INSPECTION,0.1,3.0,40.0,40.0,True,True,False,False,DESERT,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_022,DETERMINISTIC,SECURITY,0.25,3.0,10.0,41.0,True,True,False,False,COASTAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_023,DETERMINISTIC,DISASTER_RESPONSE,0.5,5.0,10.0,42.0,True,True,False,False,MARINE,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_024,DETERMINISTIC,DELIVERY,1.0,5.0,10.0,43.0,True,True,False,False,INDOOR,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.0,MULTIROTOR,FIXED_WING:Indoor operating environment prohibits wing-borne forward cruise flight.; VTOL:Indoor operating environment prohibits wing-borne forward cruise flight.,0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_025,DETERMINISTIC,RESEARCH,2.0,8.0,15.0,44.0,True,True,False,True,URBAN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_026,DETERMINISTIC,INSPECTION,3.0,8.0,15.0,45.0,True,True,False,False,RURAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_027,DETERMINISTIC,SECURITY,5.0,10.0,15.0,46.0,True,True,False,False,MOUNTAIN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_028,DETERMINISTIC,DISASTER_RESPONSE,8.0,10.0,20.0,47.0,True,True,False,False,FOREST,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_029,DETERMINISTIC,DELIVERY,12.0,12.0,20.0,48.0,True,True,False,False,DESERT,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_030,DETERMINISTIC,RESEARCH,15.0,12.0,20.0,49.0,True,True,False,False,COASTAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_031,DETERMINISTIC,INSPECTION,0.1,14.0,25.0,50.0,True,True,False,False,MARINE,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_032,DETERMINISTIC,SECURITY,0.25,14.0,25.0,51.0,True,True,False,False,INDOOR,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.0,MULTIROTOR,FIXED_WING:Indoor operating environment prohibits wing-borne forward cruise flight.; VTOL:Indoor operating environment prohibits wing-borne forward cruise flight.,0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_033,DETERMINISTIC,DISASTER_RESPONSE,0.5,1.0,25.0,52.0,True,True,False,True,URBAN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_034,DETERMINISTIC,DELIVERY,1.0,1.0,30.0,53.0,True,True,False,False,RURAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_035,DETERMINISTIC,RESEARCH,2.0,2.0,30.0,54.0,True,True,False,False,MOUNTAIN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_036,DETERMINISTIC,INSPECTION,3.0,2.0,30.0,55.0,True,True,False,False,FOREST,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_037,DETERMINISTIC,SECURITY,5.0,3.0,35.0,56.0,True,True,False,False,DESERT,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_038,DETERMINISTIC,DISASTER_RESPONSE,8.0,3.0,35.0,57.0,True,True,False,False,COASTAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_039,DETERMINISTIC,DELIVERY,12.0,5.0,35.0,58.0,True,True,False,False,MARINE,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_040,DETERMINISTIC,RESEARCH,15.0,5.0,40.0,59.0,True,True,False,False,INDOOR,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.0,MULTIROTOR,FIXED_WING:Indoor operating environment prohibits wing-borne forward cruise flight.; VTOL:Indoor operating environment prohibits wing-borne forward cruise flight.,0.7,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_041,DETERMINISTIC,INSPECTION,0.1,8.0,40.0,40.0,True,True,False,True,URBAN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_042,DETERMINISTIC,SECURITY,0.25,8.0,40.0,41.0,True,True,False,False,RURAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_043,DETERMINISTIC,DISASTER_RESPONSE,0.5,10.0,10.0,42.0,True,True,False,False,MOUNTAIN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_044,DETERMINISTIC,DELIVERY,1.0,10.0,10.0,43.0,True,True,False,False,FOREST,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_045,DETERMINISTIC,RESEARCH,2.0,12.0,10.0,44.0,True,True,False,False,DESERT,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_046,DETERMINISTIC,INSPECTION,3.0,12.0,15.0,45.0,True,True,False,False,COASTAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_047,DETERMINISTIC,SECURITY,5.0,14.0,15.0,46.0,True,True,False,False,MARINE,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_048,DETERMINISTIC,DISASTER_RESPONSE,8.0,14.0,15.0,47.0,True,True,False,False,INDOOR,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.0,MULTIROTOR,FIXED_WING:Indoor operating environment prohibits wing-borne forward cruise flight.; VTOL:Indoor operating environment prohibits wing-borne forward cruise flight.,0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_049,DETERMINISTIC,DELIVERY,12.0,1.0,20.0,48.0,True,True,False,True,URBAN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_050,DETERMINISTIC,RESEARCH,15.0,1.0,20.0,49.0,True,True,False,False,RURAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
CASE_MR_051,DETERMINISTIC,INSPECTION,0.1,2.0,20.0,50.0,True,True,False,False,MOUNTAIN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_052,DETERMINISTIC,SECURITY,0.25,2.0,25.0,51.0,True,True,False,False,FOREST,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_053,DETERMINISTIC,DISASTER_RESPONSE,0.5,3.0,25.0,52.0,True,True,False,False,DESERT,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_054,DETERMINISTIC,DELIVERY,1.0,3.0,25.0,53.0,True,True,False,False,COASTAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_055,DETERMINISTIC,RESEARCH,2.0,5.0,30.0,54.0,True,True,False,False,MARINE,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_056,DETERMINISTIC,INSPECTION,3.0,5.0,30.0,55.0,True,True,False,False,INDOOR,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.0,MULTIROTOR,FIXED_WING:Indoor operating environment prohibits wing-borne forward cruise flight.; VTOL:Indoor operating environment prohibits wing-borne forward cruise flight.,0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_057,DETERMINISTIC,SECURITY,5.0,8.0,30.0,56.0,True,True,False,True,URBAN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_058,DETERMINISTIC,DISASTER_RESPONSE,8.0,8.0,35.0,57.0,True,True,False,False,RURAL,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.8,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.8,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required,PASS,,,,
CASE_MR_059,DETERMINISTIC,DELIVERY,12.0,10.0,35.0,58.0,True,True,False,False,MOUNTAIN,MULTIROTOR,QUADCOPTER,MULTIROTOR,SELECTED,MULTIROTOR,0.7,0.0,0.5,MULTIROTOR; VTOL,"FIXED_WING:Conventional fixed-wing aircraft cannot perform vertical takeoff, vertical landing, or sustained hover.",0.9,Vertical takeoff and precision hover capability | High station-keeping flight control precision | No runway required ; CONS: Heavy payload mass requires high multi-rotor motor power draw.,PASS,,,,
