case_id,mission_category,payload_kg,range_km,endurance_min,cruise_speed_kmh,final_status,failure_category,exact_failure_message,stage_failed,engine_failed,validator_failed,last_successful_stage,configuration_selected,wing_position,propulsion_layout,tail_configuration,landing_gear,mtow_at_failure_kg,wing_area_at_failure_m2,wingspan_at_failure_m,aspect_ratio_at_failure,airfoil_at_failure,required_thrust_n,available_thrust_n,required_power_w,available_power_w,required_range_km,available_communication_range_km,required_stall_margin,actual_stall_margin,static_margin_percent,convergence_delta,forensic_classification,forensic_confidence,root_cause,recommended_action
FW-013,SURVEY,0.61,14.3,63.8,85.3,NON_CONVERGED,NON_CONVERGED,Oscillation detected: design state at iteration 7 matches state at iteration 5.; Convergence failed: Oscillation detected: design state at iteration 7 matches state at iteration 5.,None,None,None,None,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,2.866,0.1132,1.09,10.5,Clark Y,7.48,19.3,135.1,380,14.3,50.0,1.2,1.298,66.1,0.00028,SELECTOR_COORDINATION_PROBLEM,High,Convergence loop oscillated between two different design configurations or sizing parameters.,Implement relaxation factors or damping on iteration updates to stabilize the convergence path.
FW-014,AGRICULTURE,0.62,10.0,42.7,60.6,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,"Cruise speed (60.6 kmh) is below the minimum safe cruise speed boundary (75.1 kmh, representing a 30.0% safety margin above clean stall).",Performance Check,FlightPerformanceEngine,FlightValidator,Mass Sizing,High-Wing Rear Pusher (Survey / Glider),High Wing,Pusher,Conventional,Belly Landing,2.278,0.1151,0.929,7.5,NACA 4412,7.6,19.3,141.7,380,10.0,40.0,,,56.3,,TRUE_PERFORMANCE_INFEASIBILITY,High,"Aircraft failed steady flight performance validations: Cruise speed (60.6 kmh) is below the minimum safe cruise speed boundary (75.1 kmh, representing a 30.0% safety margin above clean stall)..",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-015,SURVEY,0.26,39.3,77.1,89.3,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.27 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Tricycle,,0.1114,1.081,10.5,Clark Y,,,,,39.3,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.27 kg..",Update component database records with missing classes.
FW-016,SURVEY,0.62,34.3,87.5,87.9,SUCCESS,SUCCESS,,None,None,None,Verification Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,7.216,0.5353,2.314,10.0,Clark Y,24.74,35.55,595.0,950.0,34.3,50.0,1.2,1.3,39.0,0.00097,SUCCESS_SUSPICIOUS,High,Aircraft balances mathematically but features physical anomalies: Mass conservation discrepancy of 0.6780 kg,Modify fuselage bay allocation logic to check volumetric fit and restrict battery CG movement during sizing.
FW-017,AGRICULTURE,0.55,30.7,28.5,66.7,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,"Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (74.6 kmh, representing a 30.0% safety margin above clean stall).",Performance Check,FlightPerformanceEngine,FlightValidator,Mass Sizing,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing,Tractor,Conventional,Taildragger,2.184,0.1114,0.914,7.5,NACA 4412,7.36,19.3,137.2,380,30.7,40.0,,,49.6,,TRUE_PERFORMANCE_INFEASIBILITY,High,"Aircraft failed steady flight performance validations: Cruise speed (66.7 kmh) is below the minimum safe cruise speed boundary (74.6 kmh, representing a 30.0% safety margin above clean stall)..",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-018,AGRICULTURE,0.77,12.4,24.7,60.9,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,"Cruise speed (60.9 kmh) is below the minimum safe cruise speed boundary (69.2 kmh, representing a 30.0% safety margin above clean stall).",Performance Check,FlightPerformanceEngine,FlightValidator,Mass Sizing,Low-Wing Single-Tractor Agricultural Sprayer,Low Wing,Tractor,Conventional,Taildragger,2.406,0.1429,1.035,7.5,NACA 4412,9.44,20.45,176.0,380,12.4,40.0,,,44.4,,TRUE_PERFORMANCE_INFEASIBILITY,High,"Aircraft failed steady flight performance validations: Cruise speed (60.9 kmh) is below the minimum safe cruise speed boundary (69.2 kmh, representing a 30.0% safety margin above clean stall)..",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-019,SURVEY,0.63,38.9,81.8,77.3,PERFORMANCE_INFEASIBLE,PERFORMANCE_INFEASIBLE,"Cruise speed (77.3 kmh) is below the minimum safe cruise speed boundary (79.8 kmh, representing a 20.0% safety margin above clean stall).",Performance Check,FlightPerformanceEngine,FlightValidator,Mass Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,3.01,0.1169,1.108,10.5,Clark Y,7.72,19.3,139.5,380,38.9,50.0,,,63.8,,TRUE_PERFORMANCE_INFEASIBILITY,High,"Aircraft failed steady flight performance validations: Cruise speed (77.3 kmh) is below the minimum safe cruise speed boundary (79.8 kmh, representing a 20.0% safety margin above clean stall)..",Verify aerodynamic aspect ratio polars and lift/drag ratios under high load factors.
FW-020,MAPPING,0.48,26.4,80.5,61.6,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.50 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,,0.1114,1.081,10.5,Clark Y,,,,,26.4,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'RGB Camera' in database weighs 0.51 kg, which exceeds the maximum allowed structural payload limit of 0.50 kg..",Update component database records with missing classes.
FW-021,RESEARCH,1.38,78.3,63.9,77.3,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.45 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.2562,1.56,9.5,NACA 4412,,,,,78.3,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.45 kg..",Update component database records with missing classes.
FW-022,SURVEY,1.2,88.7,118.0,70.6,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (88.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,,0.2228,1.529,10.5,Clark Y,14.71,24.78,265.8,380,88.7,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (88.7 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-023,INSPECTION,1.8,35.3,96.2,109.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.21 m) exceeds wing root chord (0.18 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.3341,2.312,16.0,Clark Y,,,,,35.3,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-024,SECURITY,2.57,89.6,110.7,77.6,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.25 m) exceeds wing root chord (0.22 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.4771,2.763,16.0,Clark Y,,,,,89.6,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-025,SECURITY,1.11,82.6,112.9,104.1,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.16 m) exceeds wing root chord (0.14 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.2061,1.816,16.0,Clark Y,,,,,82.6,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-026,SECURITY,1.14,107.6,99.5,107.7,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.17 m) exceeds wing root chord (0.15 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.2116,1.84,16.0,Clark Y,,,,,107.6,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-027,SECURITY,2.05,114.1,72.6,98.6,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.22 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.3805,2.467,16.0,Clark Y,,,,,114.1,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-028,SURVEY,1.63,97.7,54.8,88.3,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION: Required communication range (97.70 km) exceeds the maximum range available in the telemetry catalog (80.00 km).,Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,,0.3026,1.782,10.5,Clark Y,19.98,26.8,361.0,380,97.7,,,,,,COMPONENT_CATALOG_LIMITATION,High,Target range (97.7 km) exceeds maximum available database telemetry range (80 km limit of Silvus StreamCaster).,Expand telemetry catalog to include longer range modems (e.g. Silvus SC4400 or satellite link systems).
FW-029,RESEARCH,1.7,36.2,78.0,81.4,COMPONENT_DATABASE_LIMITATION,COMPONENT_DATABASE_LIMITATION,"COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.78 kg.",Component Sizing,AvionicsEngine,TelemetrySelector,Propulsion Sizing,High-Wing Conventional Research UAV,High Wing,Tractor,Conventional,Tricycle,,0.3156,1.732,9.5,NACA 4412,,,,,36.2,,,,,,COMPONENT_CATALOG_LIMITATION,High,"A required payload, sensor, or power subsystem component is missing from catalog databases: COMPONENT_DATABASE_LIMITATION: Lightest available component of type 'Scientific Instruments' in database weighs 1.80 kg, which exceeds the maximum allowed structural payload limit of 1.78 kg..",Update component database records with missing classes.
FW-030,INSPECTION,2.11,113.9,59.0,105.1,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.23 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.3917,2.503,16.0,Clark Y,,,,,113.9,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-031,INSPECTION,2.21,94.6,72.5,95.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.23 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Conventional High-Wing Tractor (Utility),High Wing,Tractor,Conventional,Tricycle,,0.4102,2.562,16.0,Clark Y,,,,,94.6,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-032,INSPECTION,1.55,30.3,149.1,95.5,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.19 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.2877,2.146,16.0,Clark Y,,,,,30.3,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-033,SURVEY,1.02,36.8,164.2,106.2,SUCCESS,SUCCESS,,None,None,None,Verification Sizing,High-Wing Rear-Pusher Survey Drone,High Wing,Pusher,Conventional,Belly Landing,7.214,0.5348,2.313,10.0,Clark Y,24.72,35.55,607.3,950.0,36.8,50.0,1.2,1.597,39.0,0.00153,SUCCESS_SUSPICIOUS,High,Aircraft balances mathematically but features physical anomalies: Mass conservation discrepancy of 0.6780 kg,Modify fuselage bay allocation logic to check volumetric fit and restrict battery CG movement during sizing.
FW-034,INSPECTION,1.62,110.9,152.5,104.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.20 m) exceeds wing root chord (0.17 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.3007,2.193,16.0,Clark Y,,,,,110.9,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-035,SECURITY,2.12,108.7,176.5,100.0,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.23 m) exceeds wing root chord (0.20 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.3935,2.509,16.0,Clark Y,,,,,108.7,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-036,SECURITY,1.66,113.8,153.3,104.6,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.20 m) exceeds wing root chord (0.18 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.3082,2.22,16.0,Clark Y,,,,,113.8,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
FW-037,INSPECTION,2.72,50.0,155.2,88.4,SIZING_INFEASIBLE,SIZING_INFEASIBLE,"Sized fuselage width (0.26 m) exceeds wing root chord (0.23 m), which causes extreme aerodynamic blockage and drag. Select a more slender fuselage profile.",None,None,None,None,Twin-Boom Pusher Long-Endurance Monoplane,High Wing,Twin Boom Pusher,Twin Boom,Skid,,0.5049,2.842,16.0,Clark Y,,,,,50.0,,,,,,SELECTOR_COORDINATION_PROBLEM,High,Wing Aspect Ratio selector and Fuselage Sizer are uncoordinated: high-AR choices result in a wing root chord smaller than the payload-enforced fuselage width.,Implement coordination between fuselage sizer and wing engine to decrement Aspect Ratio when fuselage width exceeds root chord.
