Case ID,Mission Type,Payload Weight (kg),Range (km),Endurance (min),Cruise Speed (km/h),Takeoff Type,Landing Type,Operating Environment,Budget,Selected Vehicle Family,Selection Success,Selection Score,Primary Candidate,Alternative Candidate 1,Alternative Candidate 1 Score,Alternative Candidate 2,Alternative Candidate 2 Score,Candidate Ranking,Selection Reason,Status,Failure Category,Failure Reason,Warnings
18,CUSTOM,4.24,101.3,75.3,119.4,VERTICAL,VERTICAL,RURAL,20595.83,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the CUSTOM mission because it optimally satisfies the 4.24 kg payload, 101.3 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
19,TRAINING,2.53,90.7,49.0,105.3,RUNWAY,RUNWAY,RURAL,78642.05,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the TRAINING mission because it optimally satisfies the 2.53 kg payload, 90.7 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
20,SECURITY,3.42,10.0,37.6,47.7,VERTICAL,VERTICAL,RURAL,20719.86,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the SECURITY mission because it optimally satisfies the 3.42 kg payload, 10.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
21,SURVEY,1.45,81.4,77.3,73.9,HAND_LAUNCH,BELLY_LANDING,RURAL,48848.73,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 1.45 kg payload, 81.4 km range, and HAND_LAUNCH takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
22,TRAINING,2.51,67.4,124.2,103.4,RUNWAY,RUNWAY,FOREST,8983.92,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the TRAINING mission because it optimally satisfies the 2.51 kg payload, 67.4 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
23,INSPECTION,0.2,4.0,23.6,28.6,VERTICAL,VERTICAL,INDOOR,2983.33,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the INSPECTION mission because it optimally satisfies the 0.2 kg payload, 4.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
24,SURVEY,5.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,10000.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Maximum takeoff weight limit (3.0 kg) must be greater than payload weight (5.0 kg).,
25,SURVEY,45.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.
26,MILITARY,4.03,139.5,71.7,77.8,VERTICAL,VERTICAL,MARINE,39032.27,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the MILITARY mission because it optimally satisfies the 4.03 kg payload, 139.5 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
27,SURVEY,20.32,33.4,64.6,68.8,RUNWAY,RUNWAY,MOUNTAIN,5254.26,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.0,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 20.32 kg payload, 33.4 km range, and RUNWAY takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
28,SURVEY,2.0,500.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,Extended range target (500.0 km) approaches maximum battery energy density threshold.
29,TRAINING,2.57,2.2,28.4,30.4,VERTICAL,VERTICAL,RURAL,38330.63,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the TRAINING mission because it optimally satisfies the 2.57 kg payload, 2.2 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
30,SURVEY,2.0,20.0,500.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Endurance requirement (500.0 min) exceeds battery/fuel energy storage density limit (450.0 min).,
31,SURVEY,11.14,77.8,60.3,67.0,VERTICAL,RUNWAY,RURAL,26591.41,VTOL,True,0.95,VTOL,MULTIROTOR,0.0,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 11.14 kg payload, 77.8 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
32,SURVEY,2.0,20.0,30.0,350.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,
33,MILITARY,0.87,3.7,21.8,21.7,VERTICAL,VERTICAL,INDOOR,6999.42,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the MILITARY mission because it optimally satisfies the 0.87 kg payload, 3.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
34,SURVEY,4.17,72.3,34.7,118.6,VERTICAL,VERTICAL,RURAL,33557.07,VTOL,True,0.95,VTOL,MULTIROTOR,0.4,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 4.17 kg payload, 72.3 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
35,SURVEY,7.46,55.0,52.3,69.5,VERTICAL,VERTICAL,RURAL,40805.01,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the SURVEY mission because it optimally satisfies the 7.46 kg payload, 55.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
36,SURVEY,45.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.
37,INSPECTION,0.33,3.2,6.4,17.9,VERTICAL,VERTICAL,INDOOR,24845.23,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the INSPECTION mission because it optimally satisfies the 0.33 kg payload, 3.2 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
38,INSPECTION,23.12,64.8,46.0,48.0,VERTICAL,VERTICAL,DESERT,33151.67,VTOL,True,0.95,VTOL,MULTIROTOR,0.0,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the INSPECTION mission because it optimally satisfies the 23.12 kg payload, 64.8 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
39,INSPECTION,1.24,4.8,9.3,36.6,VERTICAL,VERTICAL,INDOOR,14652.4,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the INSPECTION mission because it optimally satisfies the 1.24 kg payload, 4.8 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
40,SURVEY,2.0,20.0,30.0,350.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Cruise speed requirement (350.0 km/h) exceeds platform dynamic limit (300.0 km/h).,
41,SURVEY,3.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,-100.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Financial budget must be greater than $0 if specified. Provided: $-100.0.,
42,RESEARCH,1.3,1.5,20.2,38.6,VERTICAL,VERTICAL,INDOOR,6347.35,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the RESEARCH mission because it optimally satisfies the 1.3 kg payload, 1.5 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
43,AGRICULTURE,2.02,14.1,15.4,24.3,VERTICAL,VERTICAL,RURAL,61312.16,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the AGRICULTURE mission because it optimally satisfies the 2.02 kg payload, 14.1 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
44,RESEARCH,0.32,1.7,15.1,18.3,VERTICAL,VERTICAL,INDOOR,75025.24,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the RESEARCH mission because it optimally satisfies the 0.32 kg payload, 1.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
45,SURVEY,45.0,20.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Payload requirement (45.0 kg) exceeds maximum studio envelope limit (35.0 kg).,High payload mass (45.0 kg) requires specialized heavy-lift structural airframe.
46,DISASTER_RESPONSE,7.75,137.4,82.5,117.7,VERTICAL,VERTICAL,RURAL,54416.89,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 7.75 kg payload, 137.4 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
47,DISASTER_RESPONSE,2.56,5.0,31.4,22.1,VERTICAL,VERTICAL,URBAN,76941.73,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 2.56 kg payload, 5.0 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
48,SURVEY,25.0,250.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Combined heavy payload (25.0 kg) and extended range (250.0 km) exceeds structural MTOW limit.,
49,RESEARCH,0.36,0.5,16.2,39.3,VERTICAL,VERTICAL,INDOOR,30088.33,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the RESEARCH mission because it optimally satisfies the 0.36 kg payload, 0.5 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
50,DISASTER_RESPONSE,2.07,13.9,10.5,47.9,VERTICAL,VERTICAL,RURAL,5590.36,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the DISASTER_RESPONSE mission because it optimally satisfies the 2.07 kg payload, 13.9 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
51,CUSTOM,6.69,57.9,98.6,63.2,VERTICAL,VERTICAL,FOREST,61128.13,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the CUSTOM mission because it optimally satisfies the 6.69 kg payload, 57.9 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
52,MAPPING,0.9,3.3,20.2,14.3,VERTICAL,VERTICAL,INDOOR,75506.25,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the MAPPING mission because it optimally satisfies the 0.9 kg payload, 3.3 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
53,TRAINING,2.1,14.9,16.0,27.8,VERTICAL,VERTICAL,RURAL,30577.53,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the TRAINING mission because it optimally satisfies the 2.1 kg payload, 14.9 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
54,SURVEY,3.0,20.0,-10.0,60.0,VERTICAL,VERTICAL,RURAL,10000.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Target flight time must be greater than 0 minutes. Provided: -10.0 min.,
55,RESEARCH,3.49,10.3,14.7,36.4,VERTICAL,VERTICAL,RURAL,29123.78,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the RESEARCH mission because it optimally satisfies the 3.49 kg payload, 10.3 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
56,AGRICULTURE,2.28,2.7,32.7,24.9,VERTICAL,VERTICAL,URBAN,11474.54,MULTIROTOR,True,0.8,MULTIROTOR,VTOL,0.5,None,,"MULTIROTOR, VTOL","Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the AGRICULTURE mission because it optimally satisfies the 2.28 kg payload, 2.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
57,DELIVERY,3.05,107.9,97.8,79.5,VERTICAL,VERTICAL,MARINE,72670.88,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the DELIVERY mission because it optimally satisfies the 3.05 kg payload, 107.9 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
58,CUSTOM,1.4,30.3,93.9,81.6,HAND_LAUNCH,RUNWAY,FOREST,30124.14,FIXED_WING,True,1.0,FIXED_WING,VTOL,0.8,MULTIROTOR,0.1,"FIXED_WING, VTOL, MULTIROTOR","Recommended Aircraft Category: FIXED_WING (Score: 1.0, Rating: EXCELLENT). This category is recommended for the CUSTOM mission because it optimally satisfies the 1.4 kg payload, 30.3 km range, and HAND_LAUNCH takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
59,INSPECTION,17.17,61.7,23.1,59.8,VERTICAL,RUNWAY,DESERT,19503.79,VTOL,True,0.95,VTOL,MULTIROTOR,0.15,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the INSPECTION mission because it optimally satisfies the 17.17 kg payload, 61.7 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
60,SURVEY,3.0,-5.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,10000.0,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,NOT PROVIDED BY ENGINE,INVALID_REQUIREMENTS,INVALID_REQUIREMENTS,Target range must be greater than 0 km. Provided: -5.0 km.,
61,TRAINING,6.93,112.3,64.7,109.8,VERTICAL,VERTICAL,MOUNTAIN,39047.33,VTOL,True,0.95,VTOL,MULTIROTOR,0.1,None,,"VTOL, MULTIROTOR","Recommended Aircraft Category: VTOL (Score: 0.95, Rating: EXCELLENT). This category is recommended for the TRAINING mission because it optimally satisfies the 6.93 kg payload, 112.3 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
62,INSPECTION,0.4,2.5,14.0,20.2,VERTICAL,VERTICAL,INDOOR,9839.46,MULTIROTOR,True,0.8,MULTIROTOR,None,,None,,MULTIROTOR,"Recommended Aircraft Category: QUADCOPTER (Score: 0.8, Rating: GOOD). This category is recommended for the INSPECTION mission because it optimally satisfies the 0.4 kg payload, 2.5 km range, and VERTICAL takeoff requirements with minimal complexity trade-offs.",SELECTED,,,
63,SURVEY,2.0,500.0,30.0,60.0,VERTICAL,VERTICAL,RURAL,,None,False,,None,None,,None,,NOT PROVIDED BY ENGINE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,NO_VALID_VEHICLE,NO_VALID_VEHICLE,No feasible aircraft design solution: Range requirement (500.0 km) exceeds maximum studio envelope limit (450.0 km).,Extended range target (500.0 km) approaches maximum battery energy density threshold.
